"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3,3,3,2,2,3,1,3
"2",1,3,1,1,1,2,4,2
"3",4,2,4,3,4,1,3,3
"4",3,3,4,1,3,2,3,2
"5",3,1,4,1,1,3,4,3
"6",2,4,4,2,3,1,4,4
"7",1,4,4,3,2,2,1,2
"8",4,2,1,3,3,2,4,4
"9",3,4,2,3,1,4,4,4
"10",4,4,3,4,1,2,3,3
"11",2,3,2,1,2,1,3,4
"12",4,4,1,1,2,2,2,3
"13",4,4,3,1,3,3,4,2
"14",2,4,2,1,2,4,1,1
"15",1,4,3,2,4,3,3,4
"16",1,3,2,4,4,3,2,3
"17",2,2,4,3,1,3,2,1
"18",2,2,3,1,1,2,1,4
"19",1,2,4,1,3,4,2,3
"20",2,1,4,2,4,2,1,1
"21",3,2,2,2,1,1,2,2
"22",2,4,3,4,1,1,2,2
"23",3,1,2,3,2,4,3,2
"24",4,1,3,2,2,1,4,1
"25",3,1,1,4,3,2,2,1
"26",1,4,1,3,3,3,3,1
"27",4,1,2,1,4,4,2,4
"28",4,1,3,2,3,4,1,2
"29",4,3,4,3,2,3,2,4
"30",1,1,2,3,1,1,1,3
"31",3,2,3,4,3,1,1,4
"32",4,3,2,3,4,2,1,1
"33",4,2,1,4,1,3,1,2
"34",1,1,1,2,2,3,2,4
"35",3,3,2,4,2,1,4,1
"36",2,3,3,3,4,4,4,3
"37",3,4,4,4,4,4,2,2
"38",2,2,1,2,1,4,3,3
"39",2,3,1,4,3,4,1,4
"40",2,1,1,3,4,1,3,2
"41",4,3,4,2,1,4,3,1
"42",1,3,3,1,3,1,2,1
"43",1,2,3,4,2,4,4,1
"44",2,1,2,4,3,3,4,3
"45",1,2,2,2,4,2,4,2
"46",3,4,1,2,4,1,1,3
"47",1,1,4,4,2,2,3,4
"48",3,2,1,1,4,3,3,1
