"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,1,2,4,3,2,2,1,2,3,1,4,1,1
"2",4,3,3,3,2,2,1,1,4,3,4,1,3,1
"3",2,3,3,3,4,3,3,4,4,4,1,4,2,4
"4",2,1,1,2,1,1,2,1,1,2,4,2,2,2
"5",4,4,3,4,3,2,1,4,1,2,3,4,2,3
"6",2,3,1,1,2,2,4,4,2,4,2,1,1,3
"7",3,1,1,2,4,1,1,4,3,3,1,2,3,4
"8",4,3,2,4,1,1,3,1,2,1,1,3,3,4
"9",4,1,1,3,3,3,3,2,4,1,2,1,1,3
"10",3,4,3,2,1,1,2,3,1,4,1,3,3,1
"11",3,3,3,1,4,4,1,2,1,2,1,2,1,3
"12",2,2,3,1,1,4,1,1,3,3,3,3,1,4
"13",4,2,4,1,3,2,3,1,3,4,1,2,4,3
"14",3,4,1,1,4,2,4,1,3,2,3,3,2,1
"15",1,2,4,4,3,1,1,2,3,2,2,1,2,1
"16",3,2,4,4,1,2,4,4,3,2,3,2,4,2
"17",3,1,4,3,2,3,1,4,2,4,3,3,1,2
"18",4,1,3,4,4,4,2,3,3,1,4,3,3,2
"19",2,2,2,4,4,1,4,3,4,3,4,3,4,3
"20",1,1,3,2,3,4,4,2,4,4,3,2,2,1
"21",1,3,2,1,2,1,2,2,3,4,3,4,4,2
"22",1,4,4,1,4,3,2,3,2,3,4,1,3,2
"23",4,2,4,2,4,1,4,3,1,3,2,4,1,2
"24",1,3,2,2,4,3,1,1,2,1,3,1,4,3
"25",3,2,2,4,4,4,3,1,1,4,3,1,3,2
"26",4,1,3,1,2,3,4,2,2,2,4,3,4,4
"27",3,4,2,3,3,1,3,2,2,4,4,2,1,4
"28",1,4,4,4,2,3,4,1,1,3,2,3,2,3
"29",1,3,1,4,2,4,2,4,3,2,4,2,1,4
"30",1,4,2,2,3,2,1,3,4,1,1,3,1,2
"31",1,1,3,3,1,2,2,3,1,3,2,1,4,4
"32",4,2,2,1,2,3,2,4,1,1,2,2,2,1
"33",1,1,2,1,1,3,3,4,4,2,2,4,3,2
"34",4,2,1,2,1,2,2,3,4,4,4,4,2,3
"35",2,3,4,3,1,3,3,2,3,1,4,4,1,1
"36",3,2,1,3,2,4,1,2,2,2,1,4,4,1
"37",3,3,4,1,2,1,3,3,4,1,3,1,2,4
"38",3,4,4,2,3,4,2,1,4,2,2,4,4,4
"39",2,3,1,2,3,4,3,4,1,3,4,3,4,1
"40",1,2,1,3,3,2,4,2,1,1,3,4,3,4
"41",2,4,3,3,4,1,3,4,2,1,2,2,4,1
"42",2,4,1,4,1,3,1,2,4,4,2,2,3,3
"43",2,1,4,2,2,4,4,3,2,1,1,1,3,3
"44",4,4,2,3,1,4,4,3,3,3,1,1,2,2
