"","V1","V2","V3"
"1",1,2,2
"2",2,3,3
"3",3,1,2
"4",3,2,4
"5",1,2,2
"6",2,4,4
"7",3,4,2
"8",3,3,4
"9",4,1,4
"10",4,2,3
"11",1,3,3
"12",4,2,2
"13",4,3,2
"14",2,1,2
"15",2,2,1
"16",3,3,1
"17",1,1,4
"18",2,4,1
"19",2,1,4
"20",4,1,3
"21",3,1,2
"22",2,1,1
"23",1,3,2
"24",2,2,4
"25",3,4,2
"26",2,4,2
"27",1,4,1
"28",4,1,1
"29",4,3,4
"30",4,3,2
"31",3,3,1
"32",1,4,3
"33",3,4,3
"34",1,4,4
"35",1,1,1
"36",3,1,3
"37",4,3,3
"38",1,3,1
"39",2,3,4
"40",4,4,3
"41",3,2,4
"42",3,1,3
"43",2,2,3
"44",1,2,4
"45",2,4,2
"46",3,2,1
"47",1,1,3
"48",1,3,3
"49",2,2,1
"50",4,4,1
"51",4,4,4
"52",4,2,1
