"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38"
"1",4,3,5,4,2,2,4,6,6,2,1,3,1,2,1,3,5,6,6,6,3,4,6,3,5,5,1,4,1,2,5,2,3,2,1,3,2,2
"2",2,1,5,5,5,5,2,1,5,2,1,2,3,1,2,1,3,5,2,5,3,3,6,4,3,2,5,3,2,3,4,4,6,5,1,6,1,5
"3",1,1,5,6,3,1,1,1,6,1,2,3,4,6,3,5,1,1,5,2,5,5,3,2,5,2,3,5,4,4,3,1,4,5,5,3,2,4
"4",2,1,3,3,5,6,5,1,1,1,5,4,6,1,3,3,6,4,5,2,4,1,4,2,2,6,6,5,2,2,1,3,5,4,2,2,4,3
"5",4,5,2,5,2,1,6,4,4,5,3,4,2,3,1,6,2,2,1,4,2,2,6,6,1,5,4,5,6,3,2,6,5,2,1,4,4,2
"6",2,4,3,4,1,2,3,5,3,1,3,6,5,4,1,6,3,5,4,6,4,2,2,5,1,4,5,6,2,5,6,1,1,3,4,1,1,5
"7",6,1,2,4,1,4,6,3,5,5,4,1,4,4,5,6,4,4,3,6,1,6,4,6,3,5,3,2,3,2,1,2,6,6,4,3,6,6
"8",2,5,4,3,6,1,1,1,3,4,4,1,2,5,1,5,5,3,3,4,3,6,2,6,4,6,3,1,2,4,5,3,6,6,3,2,1,1
"9",6,4,4,3,3,1,1,5,5,4,2,1,4,3,6,2,1,5,3,1,3,2,4,3,2,1,6,1,2,1,2,1,2,1,3,4,3,6
"10",1,6,1,4,3,5,6,6,1,3,2,6,4,4,4,5,6,2,6,1,3,2,1,4,3,2,2,2,1,4,5,6,2,4,6,3,4,3
"11",3,5,4,2,5,5,5,3,3,1,4,5,3,6,1,2,5,6,1,3,1,2,3,5,6,1,1,2,4,1,2,5,2,1,1,4,3,4
"12",5,2,4,3,4,5,5,6,6,1,5,1,1,5,5,4,3,6,6,3,1,3,2,5,1,2,4,5,5,3,4,6,3,6,4,2,2,6
"13",1,4,6,6,6,6,2,4,6,5,5,6,2,4,6,2,2,3,3,2,4,5,2,3,1,4,1,6,3,2,6,5,5,2,3,2,4,3
"14",4,5,3,1,5,3,6,1,5,4,1,6,5,4,3,3,3,4,6,1,1,5,3,1,1,5,1,1,5,4,3,2,5,3,3,6,1,5
"15",3,3,6,1,2,2,3,4,6,6,3,4,3,2,5,6,6,2,2,5,1,3,3,3,2,3,1,1,5,4,6,3,3,6,6,6,5,6
"16",6,4,5,2,5,3,2,5,1,4,6,1,3,2,5,1,4,6,6,6,6,5,1,1,3,4,4,4,6,4,3,2,1,3,1,2,4,3
"17",1,1,1,3,2,4,4,4,4,3,6,1,1,6,5,3,6,2,2,2,5,5,6,4,3,3,2,2,5,5,2,3,6,2,2,1,1,4
"18",2,6,5,6,3,5,4,3,6,5,3,4,6,1,2,4,4,4,2,6,6,4,1,2,6,1,6,1,4,5,3,3,4,1,2,2,6,4
"19",5,2,5,4,6,3,4,2,1,6,1,2,5,4,1,2,3,3,3,4,3,3,3,6,1,1,1,5,4,4,2,2,2,1,6,2,6,1
"20",4,1,2,5,6,6,3,2,4,3,3,2,5,2,6,6,4,3,6,4,2,6,1,1,5,2,2,3,3,1,6,3,2,2,6,5,2,4
"21",3,4,4,1,2,2,6,1,5,6,1,3,6,6,4,6,3,3,6,1,5,3,5,5,4,6,4,1,3,1,4,4,3,2,5,1,6,3
"22",5,6,1,6,4,2,1,2,2,6,3,4,4,6,5,5,4,5,5,5,2,5,3,4,4,6,6,6,4,2,5,5,5,1,2,6,3,4
"23",6,1,3,5,2,1,4,1,1,5,2,3,2,2,3,1,6,3,2,3,1,2,2,5,4,4,6,2,5,6,6,5,1,4,4,3,2,4
"24",5,6,3,3,5,6,4,5,5,6,2,5,1,6,2,3,2,1,3,3,4,3,3,1,3,6,5,2,1,3,5,1,1,6,1,3,5,4
"25",4,5,3,4,5,1,2,6,5,2,1,3,5,1,5,3,5,1,5,2,4,4,4,6,6,1,5,2,6,6,4,5,6,3,4,4,5,1
"26",5,5,3,2,5,4,1,3,3,1,3,1,6,5,6,3,1,3,1,6,6,2,6,5,6,4,4,3,3,4,6,5,5,5,6,3,3,6
"27",3,3,6,6,6,3,3,5,2,3,6,4,6,6,4,5,1,5,4,2,1,3,6,4,2,6,5,2,6,6,3,3,5,6,2,3,5,5
"28",3,2,1,2,4,6,2,5,6,3,5,3,4,4,2,6,1,4,2,5,2,4,4,2,6,6,6,4,5,4,2,4,1,1,6,2,1,2
"29",2,1,2,1,6,3,5,5,1,6,1,6,1,3,6,5,5,5,1,3,6,4,3,3,6,4,4,4,3,3,3,2,6,5,5,5,3,5
"30",6,4,6,4,1,4,5,6,3,3,2,2,3,3,3,4,4,1,2,2,6,1,1,1,5,6,2,6,5,2,2,6,4,3,3,4,1,6
"31",4,2,2,3,1,2,2,1,2,6,5,5,5,4,6,4,4,6,4,2,6,1,6,3,6,2,2,3,5,3,6,1,3,4,1,4,4,1
"32",4,6,6,3,2,4,2,4,1,3,6,5,5,2,2,2,1,2,5,6,1,4,2,6,6,5,3,3,1,1,3,1,6,4,4,4,2,3
"33",1,6,5,2,3,2,4,2,2,1,6,2,4,3,6,4,4,1,1,3,4,4,1,6,1,3,5,4,1,2,1,3,4,1,6,6,4,4
"34",5,4,2,1,4,3,6,2,6,1,2,6,3,3,3,1,6,2,3,6,1,5,5,4,5,3,6,6,5,3,4,1,4,5,4,1,4,1
"35",4,5,6,5,2,5,4,3,2,3,3,2,2,4,6,1,5,5,4,1,2,3,3,1,5,1,4,6,1,6,2,4,6,5,4,1,5,1
"36",4,3,6,3,4,6,2,2,1,4,2,6,1,1,6,5,3,2,6,4,5,1,4,4,3,4,2,2,3,6,1,6,4,1,4,1,2,2
"37",3,4,3,6,2,6,1,5,4,5,6,2,6,2,2,4,6,4,1,1,2,1,3,4,3,2,3,5,6,2,5,1,4,5,5,1,3,2
"38",5,1,4,3,3,2,1,6,3,1,4,6,6,1,5,6,3,1,2,1,3,5,2,1,3,4,3,4,4,2,2,5,2,6,2,4,6,2
"39",5,4,2,5,4,1,5,2,2,2,6,3,3,3,1,5,2,5,1,1,5,6,5,1,1,3,1,3,2,5,5,4,2,4,2,2,4,6
"40",3,3,3,1,1,1,5,6,4,5,5,4,3,2,4,2,2,2,4,5,3,6,2,2,5,1,5,3,2,6,1,6,5,4,1,1,2,5
"41",3,6,1,2,3,4,1,1,3,6,5,2,2,1,3,2,4,1,4,3,2,4,6,3,2,6,2,5,2,5,4,6,2,3,5,2,6,6
"42",1,2,1,2,1,3,3,4,1,2,3,3,2,6,3,4,1,4,1,5,2,2,1,2,1,1,2,1,3,2,4,1,5,3,3,3,5,1
"43",5,3,1,1,1,5,4,3,5,2,6,5,2,2,1,3,3,6,5,2,5,1,2,4,4,5,5,3,4,4,5,3,5,1,5,6,6,6
"44",6,5,2,1,6,6,1,6,2,2,2,3,1,5,2,5,4,3,4,6,5,3,4,3,4,2,1,4,5,6,1,2,4,4,3,6,6,4
"45",3,2,2,6,4,1,5,6,6,4,4,5,5,5,2,2,5,3,6,6,6,2,5,2,2,3,2,6,2,3,3,4,6,2,6,4,5,5
"46",1,5,4,6,6,4,6,5,4,1,4,1,3,1,4,5,6,1,4,4,3,2,5,1,2,4,6,3,4,5,6,2,3,1,3,6,3,1
"47",6,4,5,2,3,5,3,5,3,5,4,6,6,5,2,1,6,6,3,4,4,4,5,1,1,2,4,1,4,6,5,6,6,2,5,5,2,3
"48",1,2,3,5,4,4,2,3,3,5,1,6,3,2,3,4,1,6,5,1,2,6,6,5,4,3,4,6,1,5,1,2,2,2,2,5,6,3
"49",1,3,1,4,3,6,3,4,3,4,5,2,1,3,4,1,3,1,6,5,4,1,5,6,6,2,6,5,4,1,5,3,1,6,2,4,5,5
"50",1,2,4,5,5,2,1,4,4,3,3,5,2,3,2,1,5,5,5,4,5,6,4,6,4,5,3,1,6,1,1,5,3,4,6,1,5,6
"51",5,3,1,4,2,5,2,2,6,2,1,4,5,6,4,1,5,4,1,4,5,4,1,6,2,6,2,5,2,6,3,5,3,5,2,5,4,2
"52",2,6,4,2,4,4,6,3,2,4,1,4,4,1,4,4,2,6,3,5,4,6,5,5,2,1,1,6,6,1,6,5,4,6,5,3,1,3
"53",4,6,6,2,1,1,3,3,5,3,5,5,1,5,3,6,6,4,5,3,6,5,5,5,3,1,6,5,3,5,1,4,1,5,3,5,3,2
"54",6,2,6,4,6,3,3,2,5,5,6,5,6,5,4,4,5,1,1,5,2,1,6,2,4,3,4,4,1,1,3,4,1,3,3,1,2,5
"55",6,1,5,1,6,3,5,4,4,6,4,1,4,3,1,6,1,4,4,3,4,1,2,4,6,3,3,4,1,6,6,6,4,3,1,5,5,2
"56",2,6,4,5,4,2,6,1,4,2,6,5,1,5,6,2,1,5,3,5,3,1,1,2,5,5,3,4,6,5,4,2,3,4,5,5,6,3
"57",2,2,5,1,1,6,5,3,1,2,2,3,6,4,5,1,2,2,4,4,1,6,4,3,4,5,3,6,6,5,4,4,1,2,1,5,3,5
"58",2,5,1,6,1,3,3,4,4,4,4,2,5,1,4,3,2,6,2,3,6,3,4,2,5,5,1,2,1,3,1,4,1,6,5,5,1,1
"59",6,3,6,6,3,5,6,6,2,4,5,4,2,6,5,3,2,3,2,1,5,6,5,5,5,4,5,3,3,3,4,1,2,3,6,6,1,2
"60",3,3,2,5,5,4,4,2,2,6,4,1,4,5,1,2,2,2,5,2,6,5,1,3,2,3,5,1,6,1,2,6,3,5,4,6,3,1
