"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",3,1,2,1,3,3,2,1,2,3,1
"2",1,2,1,1,1,2,2,3,2,3,3
"3",3,3,1,3,3,2,3,2,2,2,3
"4",1,3,3,1,1,1,2,1,1,2,2
"5",3,1,3,3,3,1,2,2,1,2,1
"6",2,3,3,2,1,3,2,3,3,2,2
"7",2,1,2,1,3,1,3,3,3,2,2
"8",2,2,2,3,1,1,3,3,1,1,3
"9",2,1,3,1,3,3,1,2,2,1,2
"10",1,2,2,1,2,3,1,3,3,2,1
"11",3,2,1,2,1,1,1,2,3,1,3
"12",1,1,1,2,2,1,3,2,2,3,1
"13",2,3,2,3,2,1,2,2,1,1,1
"14",3,1,3,2,1,3,3,2,3,2,3
"15",2,3,2,2,1,2,2,1,2,3,3
"16",3,2,3,2,2,2,1,1,1,1,1
"17",1,3,1,1,3,2,2,2,3,1,1
"18",3,2,1,1,2,1,3,2,1,3,2
"19",3,3,2,1,2,3,2,3,1,1,3
"20",1,2,2,2,3,3,3,2,1,1,3
"21",2,3,1,3,1,3,1,2,1,3,1
"22",2,2,3,1,1,1,2,2,3,3,1
"23",2,2,3,2,2,3,1,3,1,3,2
"24",3,3,2,2,2,1,3,1,3,2,1
"25",1,1,1,2,3,2,2,3,1,2,2
"26",3,1,2,1,1,2,3,3,2,1,1
"27",1,1,2,3,2,2,1,2,2,1,2
"28",2,2,3,1,3,2,3,1,2,2,3
"29",1,3,3,2,3,2,3,3,1,3,1
"30",1,3,2,3,1,2,3,2,3,3,2
"31",3,1,1,2,1,2,2,1,1,1,2
"32",2,1,3,3,2,2,3,1,1,3,3
"33",1,2,3,3,1,3,3,1,2,1,1
"34",2,3,1,1,2,3,3,1,3,1,2
"35",1,3,3,3,2,1,1,3,2,2,3
"36",3,3,2,3,3,3,1,1,2,2,2
"37",3,2,3,3,3,2,2,3,3,1,2
"38",1,1,2,1,1,3,1,2,1,2,3
"39",3,2,1,3,2,3,3,3,2,2,1
"40",2,1,1,3,3,3,2,3,3,3,3
"41",1,2,1,2,2,3,2,1,2,3,2
"42",1,1,3,2,2,1,2,1,3,1,3
"43",1,2,2,3,3,1,1,1,3,3,2
"44",3,3,3,1,2,2,1,2,3,3,3
"45",2,2,1,1,3,1,1,1,1,2,3
"46",2,3,1,2,3,1,1,3,2,1,1
"47",3,1,2,2,1,1,1,3,2,3,2
"48",2,1,1,3,1,2,1,1,3,2,1
