"","V1","V2","V3"
"1",2,2,1
"2",1,3,3
"3",3,2,3
"4",3,2,2
"5",2,2,2
"6",2,3,1
"7",1,2,1
"8",2,3,3
"9",3,1,3
"10",3,1,1
"11",2,1,1
"12",3,1,3
"13",1,1,2
"14",2,1,2
"15",2,3,2
"16",1,1,3
"17",1,3,1
"18",2,2,3
"19",3,1,1
"20",1,1,3
"21",3,2,2
"22",2,1,2
"23",2,2,1
"24",2,1,3
"25",1,2,2
"26",3,3,1
"27",1,3,3
"28",3,3,3
"29",1,1,1
"30",2,2,3
"31",2,2,2
"32",1,1,1
"33",1,3,1
"34",1,3,2
"35",3,3,2
"36",1,2,3
"37",2,3,2
"38",3,3,3
"39",1,2,2
"40",3,1,2
"41",3,2,1
"42",3,3,1
