"","V1","V2"
"1",5,2
"2",2,5
"3",2,3
"4",2,2
"5",1,4
"6",4,1
"7",6,4
"8",2,5
"9",4,3
"10",2,2
"11",3,3
"12",6,6
"13",2,6
"14",5,4
"15",6,3
"16",5,1
"17",3,6
"18",1,3
"19",1,2
"20",1,4
"21",4,6
"22",4,2
"23",5,6
"24",1,1
"25",2,1
"26",3,2
"27",6,4
"28",3,1
"29",4,3
"30",3,1
"31",5,3
"32",5,5
"33",6,2
"34",1,6
"35",6,6
"36",4,1
"37",2,5
"38",2,2
"39",1,3
"40",4,4
"41",6,3
"42",5,5
"43",3,5
"44",4,6
"45",5,5
"46",5,2
"47",5,2
"48",3,3
"49",6,5
"50",1,6
"51",3,4
"52",3,6
"53",6,1
"54",2,4
"55",1,5
"56",4,4
"57",4,5
"58",6,1
"59",1,1
"60",3,4
