"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",2,2,1,3,2,1,1,2,3,1,1,1,2,3
"2",2,1,2,1,1,2,3,3,3,1,1,2,2,1
"3",3,3,2,1,1,2,2,1,1,3,1,3,2,3
"4",3,2,3,2,2,3,3,1,3,1,3,2,1,3
"5",1,2,2,1,3,2,2,1,1,1,3,1,3,2
"6",1,1,3,3,1,2,2,2,1,1,2,3,1,2
"7",1,3,2,3,3,2,3,3,2,2,3,3,2,3
"8",1,1,1,2,1,3,1,1,2,2,2,2,3,3
"9",1,3,1,1,2,3,3,2,3,3,2,1,1,2
"10",2,1,3,2,3,3,2,3,1,3,1,1,2,2
"11",3,2,2,3,1,2,1,2,2,3,3,1,1,1
"12",2,3,1,2,2,3,1,3,1,1,3,3,2,1
"13",3,3,3,2,1,1,3,3,2,2,2,1,3,2
"14",2,1,3,1,2,1,1,2,3,3,3,3,3,2
"15",2,2,1,3,2,1,3,1,1,3,2,2,3,1
"16",3,2,2,3,3,3,2,2,3,2,1,3,3,1
"17",3,1,1,1,3,1,2,3,2,2,2,2,1,3
"18",1,3,3,2,3,1,1,1,2,2,1,2,1,1
