"","V1","V2","V3","V4","V5","V6"
"1",3,4,2,3,4,2
"2",3,2,3,2,4,4
"3",2,2,1,1,2,4
"4",1,1,1,2,3,3
"5",3,3,3,1,1,1
"6",4,2,2,1,3,3
"7",3,1,1,3,1,4
"8",3,4,4,4,1,1
"9",2,2,3,4,3,2
"10",3,2,4,1,1,3
"11",1,4,3,4,4,3
"12",1,2,4,1,4,1
"13",3,1,4,4,3,2
"14",3,1,1,1,2,1
"15",2,3,4,3,4,2
"16",1,3,3,3,1,4
"17",4,2,3,4,1,3
"18",4,4,1,2,4,3
"19",3,2,1,4,4,1
"20",1,1,4,2,2,2
"21",4,3,1,4,3,4
"22",1,3,2,1,4,4
"23",4,2,4,3,2,1
"24",2,4,1,3,2,1
"25",1,4,2,2,3,1
"26",2,1,3,2,1,1
"27",2,1,2,4,4,4
"28",2,3,4,3,1,3
"29",2,3,3,4,3,1
"30",4,4,2,2,1,4
"31",1,4,3,1,2,2
"32",4,3,3,2,4,1
"33",3,3,2,3,2,3
"34",4,4,4,1,3,2
"35",4,2,1,2,1,2
"36",1,2,1,3,3,3
"37",4,1,2,3,3,1
"38",4,3,2,4,2,2
"39",3,4,3,3,3,4
"40",3,3,1,1,4,2
"41",4,1,3,1,2,4
"42",2,4,4,2,3,4
"43",1,2,2,3,2,1
"44",2,1,2,2,4,2
"45",2,4,2,1,1,3
"46",1,3,1,2,1,2
"47",3,3,4,2,2,4
"48",2,4,1,4,2,3
"49",2,1,3,1,3,3
"50",4,1,4,3,4,3
"51",1,1,2,4,1,2
"52",1,2,4,4,2,4
