"","V1","V2","V3"
"1",3,1,2
"2",3,1,3
"3",2,1,1
"4",1,3,3
"5",2,3,2
"6",1,3,2
"7",1,2,1
"8",1,3,1
"9",1,3,2
"10",3,2,3
"11",3,2,1
"12",1,2,3
"13",3,3,1
"14",2,2,2
"15",1,3,3
"16",1,1,3
"17",2,2,2
"18",2,3,3
"19",2,1,3
"20",1,2,2
"21",3,2,2
"22",1,3,1
"23",2,2,2
"24",3,1,2
"25",2,3,3
"26",1,1,1
"27",3,2,3
"28",1,2,1
"29",3,1,1
"30",3,3,2
"31",2,2,2
"32",2,3,1
"33",2,1,3
"34",3,3,3
"35",2,3,1
"36",1,2,3
"37",2,2,2
"38",1,1,2
"39",3,3,2
"40",2,2,3
"41",3,3,3
"42",1,1,1
"43",2,1,1
"44",2,1,2
"45",2,2,1
"46",3,2,1
"47",3,1,1
"48",1,1,3
"49",3,3,1
"50",3,1,3
"51",1,1,2
