"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",5,3,2,3,1,5,6,1,1,2,2,5,6,1,2,2,5,4,4,3,4
"2",4,1,2,5,5,3,4,4,4,1,1,5,1,2,5,2,5,6,3,2,1
"3",3,6,5,3,2,6,5,3,5,4,1,4,1,5,2,6,5,3,1,2,5
"4",5,6,6,5,6,5,2,6,4,4,3,1,6,3,2,1,5,3,3,5,3
"5",4,5,3,5,3,2,5,1,4,5,5,3,1,3,2,6,1,1,6,3,6
"6",2,3,4,1,5,6,5,5,5,2,2,1,1,6,3,3,3,5,6,4,2
"7",3,4,3,4,6,3,1,3,6,6,2,1,1,2,6,1,1,4,1,3,4
"8",5,2,5,6,3,1,6,4,4,4,4,1,3,6,5,1,3,6,5,2,4
"9",6,4,2,4,5,1,1,3,5,2,6,5,6,4,4,6,3,2,3,1,5
"10",1,3,5,6,3,4,1,1,5,1,5,2,4,2,3,6,5,4,4,2,1
"11",5,4,3,2,3,3,5,6,3,1,6,5,3,5,2,5,5,1,5,5,1
"12",1,6,1,4,1,5,1,4,4,1,3,2,2,4,5,3,4,1,5,1,4
"13",2,3,6,4,2,3,6,6,2,5,2,5,4,2,6,6,4,3,6,1,3
"14",2,5,5,2,2,4,4,4,1,6,4,2,6,6,1,5,3,2,4,5,6
"15",4,3,2,1,3,6,3,6,5,6,1,5,5,4,5,1,1,2,4,4,5
"16",1,5,3,3,5,2,6,1,4,5,6,2,5,6,6,2,5,4,4,5,4
"17",2,2,6,1,4,3,2,2,4,2,2,4,5,1,5,5,6,3,3,6,6
"18",5,6,1,3,4,1,3,4,2,2,1,1,4,3,4,6,2,5,5,6,2
"19",4,2,6,5,1,6,3,4,6,3,6,6,5,6,4,4,6,4,5,3,5
"20",6,4,4,6,5,6,4,2,3,6,1,2,4,1,3,2,3,3,5,1,6
"21",2,2,2,4,6,6,3,6,3,5,4,3,6,5,4,6,5,6,1,4,2
"22",5,2,1,6,5,4,3,2,5,6,5,5,3,5,1,3,4,5,2,5,6
"23",1,1,6,4,2,1,4,2,5,3,1,3,3,5,3,1,2,1,3,5,2
"24",1,3,2,5,1,3,2,2,2,4,2,1,5,6,3,4,1,6,3,2,5
"25",1,4,3,6,3,5,3,3,1,2,3,5,4,5,6,1,6,4,2,6,1
"26",6,5,6,3,6,4,5,2,6,2,4,6,2,1,6,4,4,2,4,4,2
"27",2,1,3,3,2,1,3,6,4,2,4,4,4,1,2,4,1,5,1,1,6
"28",3,6,4,6,4,1,2,6,6,6,5,4,2,6,5,5,3,4,3,3,1
"29",3,1,3,3,5,5,1,4,2,5,1,6,2,6,3,4,4,1,6,6,4
"30",3,1,2,1,1,2,4,1,3,1,4,6,2,5,6,6,3,4,2,4,4
"31",3,5,1,6,1,3,4,5,5,4,6,4,6,1,4,3,2,2,6,5,2
"32",2,2,1,3,3,6,2,2,2,4,6,6,1,3,1,1,3,3,4,2,2
"33",5,2,5,1,6,1,4,4,2,5,6,5,5,2,3,4,1,4,1,6,3
"34",6,3,1,5,1,3,6,4,3,6,4,2,1,4,3,4,6,3,1,6,2
"35",4,4,2,2,4,5,2,1,6,1,4,3,4,6,2,2,2,1,1,6,3
"36",4,5,6,4,4,3,4,2,2,3,6,1,2,4,1,5,6,6,1,1,3
"37",2,1,2,5,6,6,5,3,1,3,5,1,3,2,5,5,3,2,3,5,5
"38",3,3,4,6,6,1,5,6,2,1,2,3,5,3,1,3,6,1,4,3,5
"39",4,4,5,4,3,2,6,5,6,1,1,2,6,4,5,4,4,5,2,6,6
"40",6,2,3,1,2,2,3,3,6,3,3,1,2,2,1,3,6,3,6,5,5
"41",5,6,3,1,2,6,5,4,5,2,5,3,5,2,3,1,4,6,2,1,3
"42",4,3,5,1,6,1,2,1,1,5,3,3,1,5,4,3,5,2,5,1,3
"43",1,4,4,5,4,5,5,5,5,4,3,6,2,1,1,6,2,6,4,6,4
"44",6,2,4,3,1,5,3,2,4,5,3,1,5,3,6,6,2,1,2,3,1
"45",1,1,5,2,4,4,5,5,6,5,6,4,3,3,4,2,6,1,2,1,4
"46",2,6,4,6,5,4,6,1,3,3,3,6,6,4,4,3,1,2,1,2,2
"47",6,4,5,2,1,2,1,5,4,5,2,6,4,5,1,2,4,5,3,2,2
"48",6,1,3,4,4,4,4,5,1,1,5,2,6,5,6,3,1,3,6,2,3
"49",3,4,6,2,2,5,6,3,1,6,5,2,2,1,4,3,1,5,3,4,1
"50",5,2,6,6,3,4,1,5,1,2,1,4,1,3,2,5,2,2,2,4,4
"51",6,5,1,3,4,2,6,6,1,3,3,4,2,6,4,1,2,3,2,3,6
"52",1,5,2,1,5,2,2,5,3,3,1,2,3,1,1,4,4,2,2,3,1
"53",2,6,1,2,3,1,4,2,6,6,2,6,4,3,3,4,6,6,5,4,3
"54",4,6,4,5,2,2,2,3,1,4,5,6,4,1,5,2,5,1,1,4,5
"55",4,1,1,2,6,4,6,3,6,4,3,3,5,4,1,5,2,4,5,1,1
"56",3,1,4,4,4,2,1,1,2,6,4,4,6,2,2,1,4,5,6,4,1
"57",5,5,1,2,5,5,1,5,2,4,4,3,3,2,6,5,6,5,4,2,6
"58",1,6,6,1,6,3,3,3,3,1,5,5,3,4,2,2,2,5,6,3,5
"59",3,3,4,2,1,4,1,6,3,3,6,3,1,3,6,2,3,6,5,6,6
"60",6,5,5,5,2,6,2,1,3,3,2,4,3,4,5,5,1,6,6,5,3
