"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",3,3,1,1,2,2,3,2,3,2
"2",2,2,3,1,3,3,2,3,1,3
"3",1,2,2,1,2,3,1,2,3,3
"4",3,2,1,3,2,1,1,3,2,3
"5",1,1,3,1,1,2,1,3,2,2
"6",1,2,3,2,1,2,3,2,1,1
"7",2,1,3,2,2,1,3,3,3,2
"8",2,1,2,3,2,3,1,3,1,1
"9",2,1,1,3,2,3,2,1,3,2
"10",2,3,1,3,1,2,3,2,1,3
"11",2,2,2,1,1,1,3,1,3,3
"12",2,1,1,2,1,1,2,1,2,1
"13",3,2,2,3,3,1,3,1,1,2
"14",3,2,1,1,1,3,1,2,1,2
"15",1,2,1,2,3,3,3,3,3,1
"16",1,3,2,2,1,3,1,1,1,2
"17",1,3,2,3,1,1,2,3,3,2
"18",2,3,1,2,3,2,1,3,2,1
"19",1,3,1,2,3,2,2,1,2,3
"20",1,2,3,3,2,1,1,1,2,1
"21",3,2,3,3,1,2,2,2,3,1
"22",3,1,2,2,1,3,3,3,2,3
"23",3,1,2,1,3,2,1,1,3,1
"24",2,3,3,1,2,3,3,1,2,1
"25",1,1,2,3,3,2,3,2,2,3
"26",3,3,2,1,2,1,2,3,1,1
"27",1,1,1,1,3,1,2,2,1,2
"28",3,1,3,2,2,2,2,1,1,3
"29",2,3,3,2,3,1,1,2,3,3
"30",3,3,3,3,3,3,2,2,2,2
