"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",2,1,4,4,3,3,1,3
"2",4,2,1,4,3,4,2,2
"3",4,3,2,4,1,2,2,1
"4",2,3,3,1,2,4,1,1
"5",4,1,2,3,4,1,4,3
"6",2,1,1,1,2,1,2,4
"7",2,2,3,3,1,1,4,1
"8",3,4,4,3,2,2,1,4
"9",3,2,3,4,2,1,2,3
"10",1,1,2,2,3,4,4,2
"11",1,2,3,3,4,4,2,4
"12",1,4,4,1,1,3,2,2
"13",4,1,3,2,1,3,3,4
"14",4,3,4,3,4,4,3,2
"15",3,2,4,1,1,4,4,3
"16",3,3,1,2,1,1,3,2
"17",3,2,1,4,3,2,4,4
"18",2,4,4,2,3,1,3,3
"19",2,4,2,4,1,4,3,4
"20",1,4,1,3,3,2,2,1
"21",3,4,3,4,4,3,4,1
"22",4,2,4,2,3,1,1,1
"23",1,3,1,3,2,3,4,3
"24",2,1,1,3,1,3,1,2
"25",3,4,1,2,4,4,1,3
"26",4,4,3,3,2,3,2,3
"27",2,2,1,1,4,3,3,1
"28",1,2,2,2,1,2,1,3
"29",4,4,2,1,2,2,4,2
"30",1,3,2,4,4,1,1,2
"31",1,1,4,4,2,2,3,1
"32",3,1,3,1,4,2,2,2
"33",4,3,2,1,3,3,1,4
"34",2,3,4,2,4,2,4,4
"35",3,1,2,2,2,4,3,1
"36",1,3,3,1,3,1,3,4
