"","V1","V2","V3","V4","V5","V6"
"1",5,1,6,2,3,6
"2",3,3,3,1,2,4
"3",1,5,3,4,6,1
"4",4,2,4,6,5,6
"5",1,3,2,5,4,3
"6",5,2,4,4,4,2
"7",5,4,6,1,5,1
"8",3,4,4,4,6,6
"9",4,3,6,6,4,2
"10",1,6,4,1,1,2
"11",4,5,5,2,2,1
"12",6,6,1,3,3,1
"13",1,4,5,6,3,2
"14",6,2,3,1,4,6
"15",6,3,1,4,5,5
"16",4,6,2,1,6,5
"17",2,3,1,2,6,2
"18",2,3,5,6,2,6
"19",4,2,1,5,3,3
"20",5,5,2,5,1,6
"21",2,2,6,3,1,1
"22",2,1,4,5,4,1
"23",6,1,5,4,2,3
"24",5,3,3,6,2,1
"25",1,2,2,4,3,4
"26",4,4,1,4,1,2
"27",6,5,4,6,3,5
"28",1,4,1,2,2,6
"29",2,4,2,3,4,6
"30",5,3,5,3,6,3
"31",3,1,1,3,2,5
"32",5,1,2,6,6,4
"33",5,5,1,1,4,3
"34",6,6,5,5,6,2
"35",1,1,5,1,5,4
"36",2,5,3,2,3,5
"37",2,5,6,4,2,3
"38",4,6,5,4,4,6
"39",4,1,3,3,5,2
"40",1,1,3,5,1,5
"41",3,5,2,5,5,1
"42",2,2,4,2,6,3
"43",2,6,1,6,5,4
"44",3,6,3,6,1,3
"45",6,4,6,5,1,4
"46",3,2,6,5,6,5
"47",3,6,6,2,4,4
"48",5,6,4,3,2,4
"49",6,4,3,2,5,4
"50",4,3,5,1,1,5
"51",1,5,6,3,5,5
"52",3,4,4,3,3,3
"53",3,1,2,1,3,1
"54",6,2,2,2,1,2
