"","V1","V2"
"1",1,1
"2",1,1
"3",3,3
"4",2,3
"5",3,3
"6",2,2
"7",2,1
"8",3,3
"9",1,1
"10",1,1
"11",1,2
"12",1,3
"13",2,2
"14",2,3
"15",2,2
"16",2,2
"17",2,3
"18",2,3
"19",1,3
"20",2,2
"21",3,2
"22",3,2
"23",1,2
"24",2,1
"25",1,2
"26",3,1
"27",3,2
"28",1,3
"29",3,2
"30",2,2
"31",3,1
"32",1,3
"33",3,1
"34",1,2
"35",2,3
"36",2,1
"37",3,1
"38",1,1
"39",3,2
"40",2,1
"41",3,1
"42",3,1
"43",1,3
"44",1,2
"45",2,1
"46",2,1
"47",3,3
"48",3,3
"49",1,2
"50",1,3
"51",3,3
