"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,1,2,1,1,3,3,2,1,1,2,1,3,2,2
"2",3,2,1,1,1,2,2,1,3,3,3,1,2,2,3
"3",3,1,1,2,2,1,1,2,3,2,2,1,3,1,1
"4",3,3,3,1,2,1,1,2,1,2,2,3,1,2,3
"5",1,1,3,3,1,3,2,2,3,2,1,2,1,2,1
"6",3,2,3,2,3,3,3,1,2,1,2,3,3,2,1
"7",1,3,2,3,1,2,1,1,2,2,3,1,3,3,2
"8",1,3,3,2,2,2,3,2,1,3,1,1,2,1,1
"9",1,1,2,1,3,2,2,1,1,2,1,3,3,1,3
"10",1,2,1,2,1,1,2,1,1,1,2,2,1,3,1
"11",3,3,1,3,2,2,2,3,1,1,1,2,3,2,2
"12",1,3,2,2,2,3,1,3,3,1,2,3,2,2,3
"13",2,2,3,2,1,3,1,3,2,3,1,2,3,1,3
"14",2,1,3,3,2,1,2,1,2,1,3,3,2,1,2
"15",2,2,1,3,3,3,1,2,1,3,3,3,2,3,1
"16",1,3,3,1,3,1,2,2,3,3,3,2,3,3,2
"17",2,3,1,1,1,1,3,3,2,2,1,3,2,3,1
"18",2,2,2,3,3,1,3,2,3,1,1,1,2,3,3
"19",1,1,1,3,3,1,2,3,2,3,2,1,1,2,3
"20",2,3,1,2,3,3,3,1,3,2,3,2,1,1,2
"21",3,1,3,2,2,2,3,3,1,2,3,2,2,3,3
"22",3,2,2,3,1,2,3,3,3,3,2,3,1,1,2
"23",2,2,2,1,3,2,1,3,2,1,3,1,1,1,1
"24",3,1,2,1,2,3,1,1,2,3,1,2,1,3,2
