"","V1","V2","V3","V4","V5","V6"
"1",5,3,2,3,1,1
"2",2,5,2,5,3,2
"3",4,1,3,1,4,5
"4",2,1,4,1,1,1
"5",2,4,5,2,3,1
"6",3,4,1,2,5,2
"7",3,3,2,1,3,3
"8",1,1,2,2,3,4
"9",1,5,5,3,5,5
"10",5,5,3,1,5,1
"11",5,2,1,1,2,2
"12",2,4,3,4,4,4
"13",3,5,4,5,4,3
"14",4,2,2,4,1,3
"15",5,4,4,2,3,5
"16",2,2,5,5,3,5
"17",4,2,4,3,5,2
"18",3,5,4,4,2,1
"19",1,3,1,4,4,1
"20",1,4,3,3,2,1
"21",1,1,3,5,5,3
"22",4,3,3,2,2,2
"23",4,1,1,5,3,1
"24",1,3,4,1,4,2
"25",5,5,1,3,4,4
"26",4,5,3,4,3,5
"27",1,3,4,4,1,5
"28",1,5,1,2,1,3
"29",5,3,2,5,5,5
"30",3,2,3,2,2,4
"31",5,1,5,2,4,3
"32",4,3,5,3,3,3
"33",3,2,5,4,5,1
"34",1,2,5,3,2,3
"35",5,1,4,4,2,4
"36",2,4,2,1,2,5
"37",2,1,2,3,4,2
"38",3,3,4,2,5,4
"39",5,4,5,5,1,2
"40",3,4,1,5,2,4
"41",2,2,3,5,1,2
"42",4,4,2,4,4,3
"43",4,5,5,1,1,4
"44",2,2,1,1,5,4
"45",3,1,1,3,1,5
