"","V1","V2","V3"
"1",4,5,5
"2",5,3,4
"3",5,2,3
"4",2,1,3
"5",2,3,1
"6",3,5,1
"7",2,5,3
"8",3,1,2
"9",1,2,2
"10",2,2,5
"11",1,3,4
"12",1,4,1
"13",5,5,2
"14",1,1,1
"15",3,2,5
"16",4,1,4
"17",5,4,5
"18",4,2,3
"19",5,1,1
"20",1,2,3
"21",4,4,3
"22",3,2,4
"23",5,1,5
"24",3,1,4
"25",5,5,4
"26",1,5,4
"27",2,4,3
"28",3,4,2
"29",1,5,2
"30",5,4,1
"31",3,4,4
"32",4,5,1
"33",4,1,2
"34",2,2,1
"35",1,4,5
"36",2,3,4
"37",4,3,5
"38",4,3,1
"39",2,3,2
"40",5,2,2
"41",4,3,3
"42",3,4,3
"43",1,1,5
"44",2,5,5
"45",3,3,2
