"","V1","V2","V3","V4","V5","V6","V7"
"1",20,14,21,6,15,18,4
"2",1,18,15,14,12,22,5
"3",22,17,17,19,6,6,18
"4",12,13,1,22,21,9,15
"5",23,9,7,1,17,10,9
"6",9,12,23,9,8,14,23
"7",4,4,2,7,7,12,6
"8",11,8,19,21,2,20,11
"9",21,5,9,13,11,23,17
"10",10,20,13,8,22,7,2
"11",5,23,20,17,16,11,16
"12",7,16,11,4,20,21,19
"13",3,7,6,18,18,17,21
"14",14,6,22,15,19,2,7
"15",8,2,10,20,13,5,3
"16",15,3,14,5,3,8,20
"17",18,1,16,11,23,15,13
"18",16,11,4,16,4,16,1
"19",17,19,3,10,14,3,22
"20",13,22,5,3,5,19,12
"21",2,10,18,2,10,4,14
"22",6,15,8,12,1,1,10
"23",19,21,12,23,9,13,8
