"","V1","V2","V3","V4","V5","V6"
"1",9,23,15,15,6,13
"2",14,14,1,20,13,15
"3",21,3,3,14,15,9
"4",7,7,21,21,4,16
"5",16,15,4,11,5,2
"6",19,21,18,19,14,4
"7",23,10,19,8,7,7
"8",20,12,8,17,2,22
"9",15,17,23,10,19,17
"10",12,2,16,18,21,21
"11",22,19,9,5,22,14
"12",3,1,10,9,3,12
"13",13,20,12,3,1,6
"14",6,22,5,12,17,20
"15",18,5,14,2,10,19
"16",2,16,17,7,12,23
"17",17,8,11,23,18,11
"18",4,18,7,22,9,8
"19",10,9,2,4,8,18
"20",1,11,13,16,23,5
"21",5,13,20,1,16,10
"22",8,6,6,6,20,3
"23",11,4,22,13,11,1
