"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"1",7,23,11,11,1,12,15,10,12,10,2,17,8,23,23,16,2,2,13,1,23,8
"2",10,11,22,16,9,2,10,17,1,23,21,13,11,10,11,23,3,22,17,10,18,1
"3",22,16,4,20,13,18,21,5,3,3,17,21,12,18,13,22,12,13,12,21,6,3
"4",17,9,15,21,21,3,16,22,20,7,15,12,4,22,4,12,17,5,21,7,8,10
"5",1,22,12,1,18,13,9,23,9,9,14,23,13,3,2,17,19,20,1,14,12,9
"6",4,5,14,18,7,20,3,6,16,6,19,6,10,20,14,9,8,21,2,3,9,13
"7",12,21,1,15,8,6,12,13,8,8,22,10,22,1,16,10,21,9,15,2,1,22
"8",18,17,6,9,4,21,5,11,22,14,20,15,5,6,3,13,10,16,22,17,21,17
"9",6,2,8,19,19,23,22,16,10,22,7,20,9,9,6,6,13,12,14,4,16,21
"10",5,10,3,12,5,5,19,15,19,4,8,9,19,14,7,4,16,19,9,20,22,5
"11",23,13,19,4,11,22,7,14,15,20,16,16,20,17,15,3,22,6,10,6,15,2
"12",21,3,16,10,2,1,1,9,2,5,4,22,14,8,9,11,14,4,8,13,13,18
"13",16,20,23,13,23,16,13,2,11,1,1,7,18,7,12,1,9,23,23,11,14,12
"14",15,4,7,8,22,7,14,7,23,17,13,18,17,5,20,14,6,17,7,5,3,6
"15",2,8,13,23,17,9,2,1,14,13,11,14,21,13,22,20,23,11,20,19,19,16
"16",3,15,5,5,14,8,4,4,4,16,10,4,6,12,5,5,11,3,18,8,5,4
"17",20,19,2,17,16,10,6,18,18,19,5,5,16,21,8,21,4,10,6,12,11,20
"18",8,14,20,14,6,17,18,3,21,21,6,11,3,4,10,19,20,7,5,15,4,11
"19",19,7,9,22,10,14,11,21,7,12,12,2,2,2,21,2,7,8,3,18,17,7
"20",14,6,10,3,3,19,17,20,5,15,3,3,15,16,18,18,18,18,19,9,7,15
"21",13,18,17,6,20,4,20,8,6,18,18,8,7,19,19,8,15,15,4,16,20,19
"22",9,12,21,2,12,11,8,19,17,2,9,19,1,15,17,7,5,14,16,22,2,23
"23",11,1,18,7,15,15,23,12,13,11,23,1,23,11,1,15,1,1,11,23,10,14
