"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",9,20,12,8,6,20,3,20,9,5,3,8
"2",7,2,23,15,7,15,20,2,6,18,10,12
"3",5,15,3,12,2,3,1,11,17,20,8,13
"4",4,17,10,20,21,12,4,3,5,12,17,4
"5",22,5,6,21,10,2,13,8,8,14,4,6
"6",1,18,18,7,9,16,12,7,18,9,22,21
"7",19,14,20,5,11,22,7,12,3,21,13,2
"8",11,13,5,23,4,23,17,9,12,4,15,23
"9",6,6,7,10,20,21,18,14,21,16,20,7
"10",17,11,1,4,15,14,9,1,23,2,11,10
"11",12,8,16,18,1,8,11,16,1,1,23,11
"12",18,19,2,16,12,13,23,19,10,23,21,14
"13",10,10,11,6,22,1,14,22,7,19,14,22
"14",23,16,17,19,23,18,15,21,16,10,9,9
"15",15,1,9,14,8,10,6,23,19,8,16,1
"16",20,9,15,3,3,11,21,15,20,13,5,19
"17",13,7,14,17,17,19,5,5,15,22,2,20
"18",2,3,4,2,13,17,10,18,4,11,7,16
"19",14,21,13,1,5,5,16,4,14,17,18,5
"20",8,23,22,22,14,7,8,17,22,15,12,17
"21",16,22,8,11,19,9,19,6,2,7,6,18
"22",21,4,21,9,18,6,2,10,11,6,19,15
"23",3,12,19,13,16,4,22,13,13,3,1,3
