"","V1","V2","V3","V4"
"1",3,3,1,3
"2",1,1,1,1
"3",1,3,1,3
"4",3,2,3,2
"5",2,1,1,2
"6",1,3,1,2
"7",3,1,1,3
"8",3,1,3,3
"9",3,3,3,1
"10",1,1,2,2
"11",3,3,1,1
"12",1,2,1,2
"13",3,2,2,1
"14",2,3,3,2
"15",3,2,2,3
"16",1,3,3,2
"17",1,2,3,1
"18",3,1,3,1
"19",2,3,2,1
"20",1,3,2,1
"21",2,2,3,1
"22",2,3,2,3
"23",3,3,2,2
"24",3,1,2,2
"25",1,2,3,3
"26",2,3,3,3
"27",2,2,1,1
"28",2,2,2,2
"29",1,1,2,1
"30",3,2,1,2
"31",1,2,2,3
"32",2,1,2,3
"33",1,1,3,3
"34",2,2,1,3
"35",2,1,1,1
"36",2,1,3,2
