"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",5,22,11,18,18,18,24,12,23,26,10,20,4,24,12,11,3,17,2,25,4,7,13
"2",24,2,13,11,12,13,27,14,2,6,14,27,1,12,4,27,16,13,18,1,1,1,14
"3",20,19,26,7,9,19,25,21,13,15,7,10,24,5,21,13,25,16,22,23,3,24,19
"4",26,13,27,1,27,26,5,4,18,16,15,26,15,27,27,24,13,15,11,18,12,11,10
"5",18,25,12,21,26,24,10,13,3,8,16,2,2,17,14,4,15,14,27,20,27,21,23
"6",11,6,18,3,14,2,17,17,4,25,11,3,20,22,6,22,8,18,8,17,24,26,18
"7",23,8,6,22,13,20,4,23,21,24,9,23,19,18,10,10,18,21,21,4,20,23,9
"8",8,11,22,26,22,5,19,5,22,3,18,17,18,19,3,15,22,22,25,14,5,16,24
"9",25,21,9,20,19,6,13,15,12,2,5,12,26,26,16,18,27,3,1,8,18,8,17
"10",6,7,10,13,11,8,3,6,26,18,4,13,3,13,20,25,19,5,16,26,17,22,26
"11",12,18,20,19,3,17,23,8,6,23,22,22,9,21,18,20,26,6,20,11,25,17,5
"12",22,17,19,10,5,10,8,11,24,7,19,24,21,8,5,5,6,7,4,22,23,18,16
"13",3,5,24,23,10,23,12,10,9,4,6,19,11,4,23,12,7,19,10,6,22,9,20
"14",4,3,23,6,17,15,11,22,15,11,25,11,12,25,7,9,17,4,23,24,19,5,2
"15",19,10,21,9,21,11,9,7,7,21,3,6,5,7,8,6,24,26,3,12,10,13,6
"16",21,26,8,4,15,4,20,3,16,27,24,15,13,2,19,8,14,20,17,9,21,4,25
"17",1,23,3,2,8,25,15,20,17,1,20,14,8,10,9,23,23,25,6,13,16,20,11
"18",10,27,15,17,16,21,1,2,14,13,12,9,16,1,1,17,9,2,13,7,2,27,1
"19",14,16,17,16,24,14,21,26,27,9,2,8,17,9,17,26,4,24,19,16,26,2,4
"20",16,12,2,12,1,27,22,27,8,17,1,16,14,20,2,1,11,1,12,15,13,10,27
"21",17,20,25,25,7,9,6,24,20,20,23,4,7,15,11,21,10,12,9,5,7,6,22
"22",2,15,4,8,25,12,7,19,5,22,17,21,25,6,15,19,2,8,26,10,9,12,21
"23",15,9,7,24,20,3,18,25,10,10,21,25,6,3,22,14,12,11,5,21,11,25,3
"24",9,4,14,14,23,22,26,16,25,19,26,1,23,11,26,3,21,9,7,2,15,15,15
"25",13,14,5,5,6,7,16,9,19,5,8,5,10,23,24,7,5,10,24,3,6,19,7
"26",27,1,1,27,2,16,14,1,11,14,27,7,27,14,13,16,1,27,15,27,14,14,12
"27",7,24,16,15,4,1,2,18,1,12,13,18,22,16,25,2,20,23,14,19,8,3,8
