"","V1","V2","V3","V4","V5"
"1",3,2,3,1,1
"2",3,1,1,2,3
"3",1,1,2,3,2
"4",3,2,1,1,3
"5",2,1,1,1,3
"6",2,1,3,2,1
"7",3,1,2,3,3
"8",1,3,2,2,1
"9",1,2,1,1,1
"10",2,3,3,1,1
"11",3,1,3,3,2
"12",3,2,2,2,2
"13",1,3,3,3,1
"14",2,1,2,1,2
"15",3,1,2,1,1
"16",1,2,3,3,3
"17",1,1,1,2,2
"18",3,1,1,1,2
"19",3,2,3,2,3
"20",1,2,1,3,3
"21",2,3,1,2,3
"22",3,3,3,2,2
"23",1,1,3,2,1
"24",2,1,3,1,3
"25",2,1,1,3,1
"26",1,3,3,2,2
"27",2,2,2,3,1
"28",2,3,3,3,3
"29",1,3,1,3,2
"30",3,2,1,2,1
"31",1,1,2,2,3
"32",1,2,3,1,2
"33",2,3,1,2,1
"34",2,2,2,2,3
"35",2,2,3,3,2
"36",3,3,2,3,3
"37",1,2,2,1,1
"38",2,2,1,3,2
"39",2,3,2,1,2
"40",1,3,2,1,3
"41",3,3,1,1,2
"42",3,3,2,3,1
