"","V1","V2","V3","V4"
"1",3,3,3,2
"2",3,1,1,3
"3",3,2,1,3
"4",1,2,1,1
"5",2,2,2,1
"6",1,2,3,3
"7",1,1,2,2
"8",1,2,1,2
"9",2,3,2,2
"10",3,1,2,1
"11",2,1,1,1
"12",1,3,2,1
"13",3,3,2,1
"14",1,1,2,1
"15",3,1,2,3
"16",3,1,3,2
"17",2,1,2,3
"18",3,2,1,1
"19",2,3,3,3
"20",2,3,1,3
"21",3,3,2,3
"22",2,3,1,1
"23",1,1,3,2
"24",1,2,2,3
"25",1,1,1,3
"26",1,3,3,1
"27",1,3,1,2
"28",3,2,3,3
"29",1,2,3,1
"30",2,2,2,2
"31",3,3,1,2
"32",2,1,1,2
"33",2,1,3,3
"34",3,2,3,1
"35",2,1,3,1
"36",1,3,2,3
"37",3,2,2,2
"38",1,3,3,2
"39",2,3,3,1
"40",2,2,3,2
"41",2,2,1,3
"42",3,1,1,2
