"","V1","V2","V3"
"1",2,2,3
"2",2,1,3
"3",3,2,1
"4",2,2,1
"5",1,1,3
"6",2,3,3
"7",3,1,1
"8",1,2,2
"9",2,3,2
"10",2,3,2
"11",2,1,2
"12",1,3,2
"13",1,2,1
"14",3,1,2
"15",2,3,1
"16",3,3,3
"17",1,3,1
"18",1,2,3
"19",3,2,3
"20",1,2,3
"21",2,3,3
"22",1,1,2
"23",2,1,1
"24",3,3,1
"25",2,1,3
"26",1,2,2
"27",1,3,3
"28",3,1,2
"29",2,1,1
"30",3,1,1
"31",3,2,2
"32",2,2,2
"33",3,2,2
"34",3,3,2
"35",1,3,1
"36",1,1,1
"37",3,2,3
"38",2,2,1
"39",1,3,3
"40",1,1,2
"41",3,1,3
"42",3,3,1
