"","V1","V2","V3","V4"
"1",1,1,1,1
"2",2,1,1,3
"3",1,3,2,3
"4",3,1,3,2
"5",2,3,3,1
"6",2,3,2,2
"7",3,3,3,2
"8",2,2,2,3
"9",3,2,1,3
"10",3,2,3,3
"11",1,2,3,1
"12",3,2,2,2
"13",1,3,3,2
"14",1,1,3,2
"15",2,1,3,3
"16",1,3,2,1
"17",2,2,1,1
"18",1,3,1,2
"19",1,2,1,3
"20",3,3,1,2
"21",2,3,3,3
"22",1,2,3,3
"23",1,2,2,1
"24",2,3,1,1
"25",3,3,2,1
"26",3,2,3,1
"27",2,2,3,2
"28",2,1,1,2
"29",2,3,1,3
"30",3,3,2,3
"31",3,1,1,2
"32",2,1,3,1
"33",3,1,2,1
"34",3,2,1,1
"35",1,1,2,3
"36",2,1,2,1
"37",1,1,2,2
"38",1,2,1,2
"39",3,1,2,3
