"","V1","V2","V3","V4","V5"
"1",2,1,2,3,1
"2",3,3,1,2,3
"3",2,3,3,2,3
"4",1,1,1,2,3
"5",2,1,1,2,1
"6",3,2,1,2,1
"7",2,2,1,1,3
"8",2,3,2,3,3
"9",2,2,2,2,2
"10",1,3,2,1,3
"11",1,2,1,3,3
"12",1,1,3,2,1
"13",1,3,1,2,2
"14",3,2,2,3,3
"15",2,3,3,1,1
"16",3,2,1,1,2
"17",1,3,3,3,2
"18",2,3,1,3,2
"19",2,1,2,1,3
"20",2,3,1,1,1
"21",2,1,3,3,3
"22",1,2,1,3,1
"23",1,1,1,1,2
"24",1,2,3,2,3
"25",3,1,2,1,1
"26",3,3,3,2,1
"27",2,1,3,1,2
"28",3,3,2,3,1
"29",3,2,3,1,3
"30",1,3,2,2,1
"31",3,3,2,1,2
"32",1,1,2,3,2
"33",3,1,2,2,3
"34",1,2,3,1,2
"35",1,2,2,1,1
"36",2,2,3,3,1
"37",3,2,3,3,2
"38",3,1,3,2,2
"39",3,1,1,3,2
