"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,1,2,2,2,3,1,3
"2",3,3,1,3,2,2,1,2
"3",3,2,2,3,2,2,3,1
"4",3,3,2,3,3,1,2,3
"5",3,1,1,2,2,2,3,3
"6",2,3,2,1,1,3,3,3
"7",2,2,1,1,1,3,1,2
"8",3,3,3,1,2,3,2,1
"9",1,1,1,2,1,2,1,2
"10",1,3,3,1,3,2,3,2
"11",3,2,1,1,3,2,1,3
"12",3,1,2,3,1,3,2,2
"13",1,2,2,1,3,3,1,1
"14",1,2,2,1,1,1,3,3
"15",1,2,3,2,3,1,1,2
"16",2,1,3,2,1,2,3,1
"17",2,2,1,3,1,1,3,2
"18",1,3,2,3,2,3,3,2
"19",3,3,3,2,1,1,1,2
"20",2,3,3,2,2,2,1,3
"21",1,2,3,3,1,2,2,3
"22",2,1,2,1,3,2,2,2
"23",2,1,3,3,3,3,1,1
"24",3,2,1,2,1,3,2,1
"25",1,1,3,3,2,1,2,2
"26",1,1,1,1,2,3,3,1
"27",1,3,2,2,1,2,2,1
"28",3,1,3,1,1,2,2,3
"29",2,2,3,3,2,3,3,3
"30",3,1,2,2,3,1,3,2
"31",2,3,1,2,3,1,3,1
"32",1,2,1,3,3,2,2,1
"33",2,3,2,3,1,1,1,1
"34",1,3,1,1,2,1,2,3
"35",2,2,3,1,2,1,2,1
"36",2,3,1,2,3,3,2,3
"37",3,1,2,1,2,1,1,1
"38",2,1,1,3,3,1,1,3
"39",3,2,3,2,3,3,3,2
