"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1",1,3,1,2,2,1,1,3,3,3,2,1,2,2
"2",2,3,1,1,2,3,2,2,2,1,3,1,1,3
"3",2,2,3,3,1,2,1,3,1,3,3,2,3,1
"4",3,2,2,3,3,3,2,2,3,3,3,1,2,3
"5",3,2,2,1,1,1,1,1,2,1,1,1,2,2
"6",3,2,1,1,2,1,2,1,1,3,3,2,3,2
"7",2,1,1,2,3,3,1,2,1,2,1,1,3,2
"8",3,2,2,2,3,1,3,3,1,2,2,1,1,1
"9",1,1,1,3,1,2,2,1,2,2,3,1,2,1
"10",3,1,2,3,2,2,1,1,3,2,1,3,3,1
"11",3,3,3,1,1,3,1,3,1,2,2,2,2,3
"12",1,2,3,3,3,3,1,2,2,1,2,3,3,2
"13",1,1,3,1,3,1,2,2,3,1,3,2,2,1
"14",2,3,1,3,2,3,3,3,3,1,1,2,2,1
"15",3,1,1,2,1,2,3,2,3,1,2,2,3,3
"16",2,1,3,3,2,1,3,2,2,3,1,1,2,3
"17",2,2,2,1,1,1,2,3,3,2,1,3,3,3
"18",2,1,1,1,3,2,1,3,2,3,2,3,1,1
"19",1,2,1,1,3,2,3,1,1,2,1,3,2,3
"20",2,3,3,2,2,2,1,1,3,2,3,3,1,3
"21",2,1,2,1,1,3,3,1,3,3,2,2,1,2
"22",1,2,3,2,1,2,2,3,3,1,1,1,1,2
"23",3,1,3,2,2,3,3,3,1,1,3,3,2,2
"24",1,1,2,3,2,1,1,2,1,1,2,2,1,3
"25",1,3,2,2,3,2,3,3,2,3,3,2,3,3
"26",1,3,3,1,2,3,3,1,2,2,2,1,3,1
"27",1,2,2,2,1,3,2,2,1,3,1,3,1,1
"28",3,3,1,3,1,1,3,2,2,2,3,3,1,2
"29",3,3,3,3,3,2,2,1,2,3,1,2,1,2
"30",2,3,2,2,3,1,2,1,1,1,2,3,3,1
