"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,4,5,1,5,1,2,3,3,5,5,3
"2",5,5,3,2,5,5,1,2,1,3,3,2
"3",2,5,2,5,2,4,5,2,3,5,3,1
"4",4,1,2,2,2,2,1,5,2,2,4,3
"5",2,4,1,1,4,4,2,1,4,2,2,4
"6",1,1,3,5,4,2,1,3,4,4,4,2
"7",2,1,4,1,3,1,3,4,3,2,1,1
"8",5,1,4,1,2,4,4,3,5,4,2,4
"9",3,3,1,1,3,2,4,1,1,4,4,1
"10",5,2,5,3,2,3,2,1,4,1,3,1
"11",2,1,4,4,5,3,4,1,2,1,2,3
"12",4,2,1,4,5,4,2,3,2,3,1,1
"13",1,4,2,4,2,1,2,3,1,1,3,4
"14",1,2,1,3,1,5,4,2,3,2,5,3
"15",3,5,3,1,1,4,4,4,2,1,4,5
"16",4,3,3,2,1,2,1,1,3,5,1,5
"17",3,1,2,4,3,5,3,2,5,5,4,5
"18",5,4,2,3,4,3,5,4,1,5,1,3
"19",1,3,5,2,2,5,3,4,2,5,2,2
"20",5,3,1,5,5,2,3,4,4,2,3,5
"21",4,3,3,2,4,1,5,2,5,1,5,2
"22",5,5,4,5,3,3,3,1,2,4,5,4
"23",2,2,4,3,4,4,2,5,1,4,5,5
"24",2,4,4,4,1,3,1,4,5,3,5,1
"25",1,2,2,2,5,3,5,5,5,3,3,4
"26",4,4,5,4,4,5,5,5,3,2,4,2
"27",4,5,1,3,1,1,3,5,4,4,2,2
"28",3,3,3,5,3,5,1,5,5,1,1,3
"29",1,5,5,3,3,2,4,2,4,3,1,5
"30",3,2,5,5,1,1,5,3,1,3,2,4
