"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,5,3,3,1,1
"2",4,4,2,4,5,2,1
"3",5,2,1,4,4,1,4
"4",3,4,1,5,1,3,5
"5",2,3,4,2,1,1,4
"6",3,1,5,4,3,3,5
"7",2,3,1,5,5,5,3
"8",5,4,5,2,5,4,4
"9",3,2,3,1,5,1,2
"10",5,5,2,3,2,5,3
"11",3,5,4,4,4,4,2
"12",5,1,3,3,5,3,3
"13",1,4,3,4,3,5,5
"14",2,1,2,3,1,4,4
"15",4,2,5,4,1,5,2
"16",4,1,1,2,3,2,3
"17",3,2,1,1,2,4,1
"18",5,3,3,5,3,4,1
"19",1,4,1,2,4,3,2
"20",4,5,3,2,2,1,5
"21",2,5,2,1,3,2,4
"22",2,5,5,5,4,2,3
"23",1,2,4,3,5,2,5
"24",4,3,2,1,4,5,5
"25",5,4,4,1,1,2,2
"26",1,1,2,5,2,1,2
"27",4,2,4,5,2,3,4
"28",1,3,5,1,2,4,3
"29",1,5,3,3,1,3,1
"30",2,1,4,2,4,5,1
