"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",15,15,10,7,20,4,5,15,8,4,12
"2",17,14,2,1,18,12,12,2,1,17,14
"3",13,7,7,11,9,5,6,4,15,18,3
"4",11,21,8,18,16,20,17,5,6,5,4
"5",16,12,4,13,5,15,18,11,17,2,10
"6",4,5,11,5,21,14,15,7,20,11,7
"7",2,17,21,6,11,3,20,3,14,1,21
"8",6,3,15,16,6,11,4,1,3,3,11
"9",20,9,13,14,12,6,14,8,5,10,19
"10",8,13,17,10,2,2,16,14,2,16,5
"11",12,10,18,3,3,19,7,6,11,8,16
"12",5,16,12,15,10,18,13,18,12,19,13
"13",19,1,20,8,14,16,9,12,9,21,6
"14",9,19,16,12,17,13,3,10,18,15,18
"15",1,18,5,21,4,7,8,9,10,13,8
"16",10,2,6,4,8,10,19,17,7,14,17
"17",14,8,19,19,19,9,21,21,13,12,9
"18",7,4,1,17,15,1,10,13,16,7,15
"19",18,20,14,2,7,8,11,19,19,6,2
"20",21,6,9,20,1,21,1,16,21,20,20
"21",3,11,3,9,13,17,2,20,4,9,1
