"","V1","V2","V3"
"1",4,1,2
"2",5,1,6
"3",3,4,4
"4",2,1,4
"5",1,5,2
"6",3,6,3
"7",3,5,2
"8",1,4,1
"9",5,5,3
"10",2,2,4
"11",5,3,4
"12",2,6,6
"13",5,4,5
"14",1,1,6
"15",4,3,1
"16",2,6,1
"17",2,4,6
"18",5,2,5
"19",4,3,6
"20",1,2,1
"21",1,3,3
"22",3,3,4
"23",1,3,5
"24",2,5,3
"25",6,6,5
"26",6,2,2
"27",5,4,2
"28",6,5,1
"29",1,5,5
"30",3,5,5
"31",6,5,6
"32",4,5,4
"33",3,1,1
"34",6,4,3
"35",3,2,6
"36",3,4,2
"37",4,6,1
"38",5,6,4
"39",4,2,3
"40",2,2,2
"41",2,4,5
"42",6,1,3
"43",4,1,5
"44",1,6,4
"45",5,6,2
"46",6,3,6
"47",6,3,1
"48",2,3,2
"49",5,1,1
"50",4,6,6
"51",1,1,3
"52",4,4,3
"53",3,2,5
"54",6,2,4
