"","V1","V2"
"1",5,5
"2",3,3
"3",4,3
"4",2,4
"5",3,1
"6",3,5
"7",1,3
"8",4,2
"9",6,2
"10",2,6
"11",1,4
"12",1,2
"13",4,2
"14",6,6
"15",4,6
"16",2,4
"17",4,4
"18",2,5
"19",4,4
"20",5,1
"21",6,4
"22",1,3
"23",4,6
"24",1,5
"25",4,5
"26",6,1
"27",6,2
"28",2,2
"29",5,2
"30",3,1
"31",2,3
"32",4,1
"33",2,1
"34",1,6
"35",1,1
"36",3,2
"37",5,3
"38",3,4
"39",3,5
"40",5,1
"41",5,4
"42",3,3
"43",6,3
"44",6,5
"45",1,6
"46",6,6
"47",2,5
"48",5,6
"49",1,2
"50",5,3
"51",3,6
"52",5,5
"53",6,4
"54",2,1
