"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",4,4,4,3,1,2,2,2
"2",1,3,1,3,4,4,4,4
"3",2,1,2,2,4,2,3,3
"4",1,2,1,4,2,2,3,1
"5",4,3,4,4,4,2,4,1
"6",3,3,2,1,2,4,2,1
"7",1,2,2,4,1,1,2,3
"8",4,1,2,3,2,3,1,4
"9",4,2,3,2,3,4,4,2
"10",3,1,1,4,3,3,2,2
"11",3,3,3,4,1,3,1,3
"12",1,4,3,1,4,2,1,2
"13",2,4,1,2,2,4,1,3
"14",2,3,3,2,3,1,2,1
"15",3,4,4,4,4,4,3,3
"16",2,2,1,1,1,3,4,2
"17",4,2,3,1,4,3,2,4
"18",1,4,2,3,3,3,4,1
"19",1,1,4,1,3,4,2,4
"20",3,1,4,1,2,1,4,3
"21",2,4,3,4,2,1,4,4
"22",3,2,2,3,4,1,1,2
"23",2,2,4,3,3,2,1,4
"24",3,4,2,2,1,2,3,4
"25",4,1,1,2,1,1,1,1
"26",2,1,3,3,1,4,3,1
"27",1,3,4,2,2,3,3,2
"28",4,3,1,1,3,1,3,3
