"","V1","V2","V3","V4","V5","V6","V7"
"1",3,3,1,4,2,3,1
"2",1,2,3,4,1,4,1
"3",3,2,3,2,3,3,3
"4",1,4,3,3,4,2,1
"5",3,4,2,2,1,2,4
"6",4,3,2,2,4,4,3
"7",2,2,4,2,4,1,4
"8",1,1,4,1,2,2,3
"9",3,1,3,4,4,2,2
"10",2,1,2,2,3,4,1
"11",3,2,4,1,1,1,1
"12",2,3,3,1,2,4,4
"13",1,4,2,4,2,1,3
"14",4,3,4,4,3,2,4
"15",4,1,2,4,1,3,2
"16",4,1,3,3,2,1,4
"17",2,2,2,3,2,2,2
"18",2,4,3,1,3,1,2
"19",1,3,1,2,1,1,2
"20",3,4,4,3,3,4,2
"21",2,4,1,4,4,4,4
"22",1,3,2,1,4,3,2
"23",2,3,4,3,1,3,3
"24",4,2,1,3,4,1,3
"25",1,1,1,3,3,3,4
"26",4,2,1,1,3,2,1
"27",4,4,4,2,2,3,1
"28",3,1,1,1,1,4,3
