"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",1,2,2,3,1,2,3,3,2,3,3,2,2
"2",3,2,3,1,3,3,1,1,2,1,2,2,1
"3",2,1,1,3,3,2,1,3,2,1,2,2,3
"4",3,2,1,2,2,1,1,2,2,3,1,1,3
"5",2,3,3,2,1,3,3,2,1,3,2,1,3
"6",3,1,2,2,1,3,2,1,3,1,3,2,3
"7",1,3,1,2,1,2,1,1,1,2,3,2,1
"8",3,3,2,2,3,3,3,1,2,2,2,1,3
"9",1,3,1,3,2,3,1,3,2,2,1,3,3
"10",1,2,3,3,1,1,2,1,2,2,2,1,1
"11",2,2,2,3,1,3,1,1,3,2,1,3,2
"12",1,1,3,2,3,3,1,2,2,3,3,3,2
"13",2,1,1,2,1,3,3,3,3,2,2,2,1
"14",2,2,3,3,3,3,3,2,3,1,2,1,2
"15",1,3,3,1,2,2,1,1,3,2,1,1,2
"16",2,2,1,1,2,3,1,3,1,3,2,1,2
"17",3,3,1,1,1,3,2,2,2,1,3,1,2
"18",3,1,1,1,3,2,3,2,2,2,1,3,2
"19",1,1,3,1,1,1,2,3,2,1,1,1,2
"20",1,2,2,2,3,2,3,3,1,2,1,3,1
"21",1,2,1,2,2,3,2,2,3,3,1,2,1
"22",2,1,3,2,2,1,3,1,2,1,1,3,3
"23",3,2,1,1,1,1,2,3,1,2,2,3,3
"24",1,1,2,3,3,3,2,1,1,3,1,1,2
"25",2,2,2,1,1,1,1,1,2,3,3,3,3
"26",1,3,2,1,3,1,1,2,1,1,2,2,3
"27",1,3,3,3,2,1,3,2,3,2,3,2,3
"28",2,1,2,1,3,1,1,2,3,2,3,1,1
"29",1,1,1,2,2,1,2,1,1,1,2,3,2
"30",3,3,3,2,1,2,1,3,3,1,3,3,2
"31",2,1,3,1,2,3,2,3,1,2,3,2,3
"32",3,3,2,3,2,3,2,2,1,3,3,3,1
"33",2,3,1,1,3,2,2,1,3,3,2,3,2
"34",2,3,3,2,3,1,2,3,2,3,1,2,1
"35",3,1,1,3,2,2,3,1,2,3,3,1,1
"36",3,1,3,3,1,2,1,2,1,2,2,3,1
"37",1,3,2,1,2,3,3,3,2,1,2,3,1
"38",2,2,3,1,2,2,3,1,1,1,3,2,1
"39",2,3,1,3,1,1,3,2,1,1,1,2,2
"40",3,2,2,2,3,1,3,3,1,2,3,1,2
"41",1,2,1,2,3,2,2,3,3,2,3,1,3
"42",2,1,2,2,1,2,1,2,1,1,1,1,1
"43",3,3,2,3,2,2,2,3,3,1,1,1,3
"44",3,2,3,3,3,2,2,1,1,3,1,2,3
"45",2,2,1,3,3,1,2,2,3,1,3,3,1
"46",3,1,3,3,2,1,1,3,3,3,2,2,2
"47",1,1,2,1,1,2,3,2,3,3,2,3,3
"48",3,3,2,1,2,1,3,1,3,3,1,2,1
