"","V1","V2","V3","V4"
"1",1,2,2,1
"2",1,3,1,2
"3",3,3,1,2
"4",1,2,2,3
"5",2,3,3,3
"6",3,1,3,2
"7",2,2,2,2
"8",3,2,1,1
"9",1,2,3,1
"10",2,3,1,3
"11",1,1,3,2
"12",3,1,1,2
"13",3,1,2,1
"14",2,1,1,2
"15",2,1,1,3
"16",3,2,1,3
"17",3,2,3,2
"18",3,2,3,1
"19",3,3,3,3
"20",2,2,1,3
"21",1,3,2,2
"22",1,2,3,3
"23",3,2,2,3
"24",2,1,3,1
"25",2,2,2,2
"26",1,1,2,3
"27",3,3,2,1
"28",2,3,3,2
"29",1,3,1,3
"30",1,3,3,2
"31",1,1,1,2
"32",3,3,2,2
"33",1,1,1,1
"34",2,1,3,3
"35",1,2,1,2
"36",3,3,1,1
"37",2,1,2,1
"38",1,3,2,1
"39",2,3,2,3
"40",2,3,3,1
"41",3,1,2,3
"42",3,1,2,2
"43",3,2,3,3
"44",1,1,2,1
"45",2,3,1,1
"46",2,2,1,1
"47",1,1,3,3
"48",2,2,3,1
