"","V1","V2","V3"
"1",2,3,1
"2",1,3,1
"3",2,3,3
"4",2,3,2
"5",2,2,2
"6",1,1,3
"7",3,1,3
"8",2,1,1
"9",3,3,2
"10",2,2,3
"11",3,2,3
"12",1,3,2
"13",3,3,3
"14",3,2,1
"15",3,1,1
"16",3,2,1
"17",3,2,2
"18",2,3,1
"19",2,1,3
"20",1,1,2
"21",2,1,2
"22",2,1,3
"23",1,3,1
"24",1,3,2
"25",2,2,1
"26",1,2,2
"27",3,3,2
"28",3,3,1
"29",1,2,2
"30",1,2,3
"31",3,2,3
"32",1,3,3
"33",3,1,2
"34",3,1,2
"35",3,2,3
"36",1,2,1
"37",1,2,3
"38",2,3,3
"39",1,1,2
"40",2,2,2
"41",1,1,1
"42",2,2,1
"43",3,1,1
"44",1,3,3
"45",1,1,1
"46",2,1,3
"47",2,1,1
"48",3,3,2
