"","V1","V2","V3","V4","V5","V6"
"1",1,1,2,2,1,1
"2",3,1,3,3,2,3
"3",2,3,1,3,2,3
"4",1,1,1,2,2,3
"5",3,2,3,3,2,2
"6",2,1,2,1,2,1
"7",1,3,2,3,2,1
"8",3,3,2,2,3,1
"9",2,1,1,2,1,3
"10",2,2,1,1,3,3
"11",3,3,1,3,2,3
"12",1,2,3,1,2,3
"13",3,2,1,2,2,1
"14",1,3,2,1,2,3
"15",3,2,2,1,1,3
"16",1,2,1,3,1,1
"17",3,1,2,2,3,3
"18",2,2,3,1,1,1
"19",3,1,1,3,3,2
"20",1,1,1,3,2,2
"21",2,2,2,2,2,2
"22",2,3,3,3,1,2
"23",3,3,2,2,1,3
"24",2,1,1,3,3,1
"25",3,1,2,3,1,1
"26",1,3,3,2,2,1
"27",3,2,2,1,3,1
"28",1,1,2,1,3,2
"29",1,2,3,2,3,2
"30",3,2,1,2,1,2
"31",3,3,3,1,3,2
"32",3,3,1,1,2,2
"33",2,3,1,1,1,1
"34",2,2,2,3,1,3
"35",2,1,3,1,3,3
"36",1,3,1,2,3,2
"37",2,2,3,3,3,1
"38",2,1,1,1,1,2
"39",3,3,3,2,1,1
"40",3,1,3,1,2,2
"41",2,3,3,2,3,3
"42",1,2,2,3,3,3
"43",1,2,1,1,3,1
"44",1,1,3,3,1,2
"45",1,3,2,1,1,2
"46",2,3,2,3,3,2
"47",1,2,3,2,1,3
"48",2,1,3,2,2,1
