"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,1,1,3,2,2,1,3,1
"2",1,2,1,2,3,3,1,2,3
"3",2,1,2,1,1,1,2,3,1
"4",1,3,2,1,1,3,3,2,2
"5",1,3,3,3,2,3,1,2,1
"6",3,3,2,2,2,3,3,1,1
"7",2,1,3,3,3,1,3,3,3
"8",2,1,2,2,1,2,3,1,1
"9",2,3,3,2,3,2,2,1,1
"10",2,3,2,3,2,2,3,2,3
"11",1,2,2,3,1,1,3,1,2
"12",2,2,2,3,3,3,2,3,2
"13",2,2,1,2,1,2,3,3,3
"14",2,2,3,3,1,3,3,2,1
"15",1,2,3,3,1,2,1,1,3
"16",1,1,3,2,3,3,3,1,3
"17",3,1,2,1,3,2,3,3,2
"18",2,1,2,1,1,3,1,1,3
"19",2,3,1,3,3,3,1,1,2
"20",1,1,1,2,2,1,3,2,2
"21",1,2,2,1,3,2,2,2,3
"22",3,3,3,1,1,2,2,3,3
"23",3,2,3,2,1,1,2,2,1
"24",3,2,1,2,2,3,3,3,1
"25",1,1,1,1,2,2,2,1,2
"26",2,3,1,2,2,1,2,1,3
"27",1,1,2,3,2,1,2,1,1
"28",1,3,3,2,2,1,2,3,3
"29",3,1,3,2,3,2,1,2,2
"30",3,1,3,3,2,3,2,2,2
"31",2,2,3,1,2,1,1,2,2
"32",3,1,2,2,2,1,1,2,3
"33",3,2,1,3,3,1,3,1,3
"34",3,2,2,3,3,2,1,1,1
"35",1,3,1,1,1,2,1,2,1
"36",2,3,3,1,3,1,3,1,2
"37",3,1,1,3,1,2,2,2,3
"38",1,2,2,2,3,1,1,3,1
"39",3,2,3,1,2,3,2,1,3
"40",1,2,3,1,2,2,3,3,1
"41",3,3,2,3,1,1,1,3,2
"42",3,3,1,2,1,3,2,3,2
"43",1,3,1,3,3,2,2,3,2
"44",1,1,3,2,1,3,1,3,2
"45",3,3,1,1,3,1,3,2,1
"46",2,1,1,1,3,3,2,2,1
"47",2,3,2,1,2,3,1,3,3
"48",3,2,1,1,1,1,1,1,2
