"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"1",14,21,23,13,12,15,22,19,26,25,1,2,10,23,18,5,18,10,20,5,24
"2",2,6,2,6,18,6,16,14,14,8,15,4,7,21,5,26,25,17,22,3,15
"3",9,1,13,1,1,14,26,17,9,13,21,1,22,2,27,22,16,13,10,16,27
"4",1,22,14,19,3,11,2,1,1,11,6,12,12,10,25,11,26,1,14,1,14
"5",13,27,17,11,27,20,27,27,15,22,14,14,1,12,1,14,27,27,27,18,18
"6",23,14,25,7,7,2,13,5,10,16,13,8,25,6,20,6,19,26,24,11,3
"7",18,12,1,14,2,27,4,18,19,20,7,7,11,1,7,1,3,16,1,14,13
"8",25,20,11,27,16,10,3,11,13,24,20,23,17,18,3,2,22,22,8,12,26
"9",19,26,12,10,9,9,7,20,4,4,22,13,21,26,6,16,6,9,23,9,8
"10",15,7,27,20,15,12,1,26,11,14,27,27,13,14,17,27,1,14,26,27,1
"11",3,15,19,8,26,13,6,10,21,7,18,16,4,25,23,4,13,12,2,21,2
"12",27,24,26,15,21,24,18,15,3,5,11,24,3,4,16,23,21,11,7,13,10
"13",4,25,4,16,22,23,12,7,12,15,25,6,27,19,15,7,2,6,16,17,22
"14",16,17,20,3,17,26,23,3,18,1,26,10,15,17,24,19,5,23,9,4,12
"15",11,3,16,25,14,3,20,21,17,3,5,11,26,16,13,3,24,5,5,19,9
"16",5,9,24,18,5,21,19,22,7,10,17,21,19,20,9,10,11,25,3,6,20
"17",7,2,18,23,11,22,9,8,24,19,24,17,9,3,12,17,23,19,18,8,7
"18",17,16,9,26,6,19,21,6,6,21,16,9,5,22,8,25,15,3,13,25,4
"19",21,4,10,4,20,25,10,23,5,18,4,18,16,24,22,9,20,18,15,24,16
"20",24,8,21,2,8,16,14,9,16,6,3,22,8,8,4,13,4,4,17,20,25
"21",20,10,3,24,24,17,17,16,20,27,19,20,23,9,26,12,14,7,25,2,11
"22",6,19,7,5,19,8,24,25,23,17,12,25,14,5,10,8,7,2,12,10,5
"23",26,11,15,22,25,1,25,2,27,12,8,15,18,27,11,24,9,15,21,15,21
"24",8,13,22,17,23,7,11,13,2,26,2,3,20,11,2,18,10,20,11,22,6
"25",12,5,6,12,13,4,8,4,8,23,10,19,2,13,21,20,8,8,4,7,23
"26",10,18,5,9,4,18,5,12,25,2,9,26,24,15,14,21,17,24,19,26,17
"27",22,23,8,21,10,5,15,24,22,9,23,5,6,7,19,15,12,21,6,23,19
