"","V1","V2","V3","V4","V5"
"1",16,3,5,1,3
"2",10,21,18,24,27
"3",19,17,27,20,2
"4",8,2,24,17,13
"5",22,5,17,15,8
"6",21,22,6,11,14
"7",13,13,14,18,6
"8",18,10,12,23,12
"9",15,18,20,14,18
"10",2,7,19,10,4
"11",7,26,11,13,1
"12",26,20,8,26,5
"13",27,11,26,9,17
"14",5,12,2,7,9
"15",11,9,7,12,22
"16",23,15,3,16,25
"17",4,4,10,21,24
"18",1,24,4,19,19
"19",12,23,25,5,7
"20",3,19,16,2,15
"21",14,6,1,25,16
"22",9,16,9,4,11
"23",6,14,23,27,21
"24",24,27,21,22,10
"25",20,8,22,3,26
"26",17,25,15,8,23
"27",25,1,13,6,20
