"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1",2,19,23,5,22,13,24,16,9,21,7,5,26,13,11,4,22,19,4,3,12,9,17
"2",13,15,27,10,14,12,15,15,1,1,11,13,11,27,26,27,27,1,18,27,11,27,22
"3",9,10,9,2,2,6,26,10,6,27,10,10,15,11,4,12,5,9,21,13,25,25,12
"4",27,7,4,4,13,16,13,2,13,4,4,6,4,21,20,10,19,8,8,17,18,2,9
"5",24,18,16,7,4,20,22,12,25,17,19,25,21,25,22,7,11,3,20,10,8,4,13
"6",11,16,6,23,24,21,20,5,5,6,5,23,22,19,12,13,9,26,24,22,16,12,25
"7",17,20,5,17,23,18,3,1,16,22,25,8,12,18,10,20,2,2,16,4,9,21,10
"8",6,21,17,9,18,19,9,22,11,11,6,12,9,4,21,22,6,24,22,9,26,6,6
"9",20,6,19,1,27,27,27,27,19,23,2,15,14,15,25,21,16,16,15,15,4,13,26
"10",14,27,1,27,1,1,14,14,14,14,1,27,1,3,27,1,1,15,14,1,14,14,14
"11",12,8,20,21,3,23,1,20,17,3,17,3,13,8,6,6,25,27,17,19,13,7,11
"12",4,5,26,15,8,25,8,13,23,13,3,16,23,22,7,15,18,10,27,2,15,23,4
"13",3,24,12,13,7,22,19,26,8,20,27,19,7,6,15,8,21,5,13,18,19,22,24
"14",26,14,2,14,25,15,23,19,21,12,20,18,10,14,2,2,13,22,9,26,27,26,3
"15",8,3,15,8,20,4,6,8,20,9,26,11,3,12,13,3,12,6,25,25,6,10,20
"16",21,23,25,18,16,5,21,4,18,8,22,4,25,7,23,17,17,18,23,16,21,24,15
"17",1,22,24,26,15,7,12,21,15,7,18,20,16,17,3,14,4,7,7,12,5,1,27
"18",5,11,3,11,11,24,11,3,2,16,21,1,20,2,1,25,14,17,10,11,2,11,19
"19",15,2,21,20,19,17,10,6,3,26,14,22,17,9,24,5,15,4,6,7,23,15,1
"20",19,25,7,12,5,3,7,11,10,25,13,14,24,16,17,16,24,25,11,24,3,5,2
"21",25,12,14,25,21,2,17,25,4,15,15,2,8,23,14,11,26,13,26,8,1,18,5
"22",22,1,18,6,10,14,2,24,7,10,16,26,27,20,9,24,3,14,12,23,22,19,16
"23",7,9,22,22,6,10,25,7,12,18,23,17,5,24,19,23,8,21,3,20,10,17,8
"24",10,17,10,3,26,8,5,17,27,2,24,24,18,1,16,19,23,12,1,14,17,16,7
"25",23,13,11,24,12,9,4,9,22,19,8,21,6,10,8,26,20,20,19,6,20,3,23
"26",16,26,13,19,17,26,16,18,26,24,12,7,2,26,5,18,10,11,2,21,24,8,18
"27",18,4,8,16,9,11,18,23,24,5,9,9,19,5,18,9,7,23,5,5,7,20,21
