"","V1","V2","V3","V4"
"1",3,1,3,3
"2",2,1,2,3
"3",2,2,3,3
"4",1,2,2,2
"5",2,3,2,3
"6",2,1,1,2
"7",2,3,3,2
"8",1,3,2,2
"9",2,3,1,2
"10",1,2,3,1
"11",2,2,1,2
"12",2,1,2,1
"13",1,2,1,2
"14",2,2,3,3
"15",3,3,1,3
"16",1,3,3,1
"17",1,1,3,2
"18",2,3,2,1
"19",2,1,2,1
"20",3,3,3,2
"21",2,3,3,1
"22",3,2,2,1
"23",1,1,3,3
"24",2,2,1,1
"25",3,3,2,3
"26",1,1,2,2
"27",3,2,2,3
"28",1,2,2,1
"29",3,1,2,2
"30",1,3,1,3
"31",3,3,2,2
"32",1,3,3,3
"33",1,1,1,3
"34",2,1,3,2
"35",3,1,1,1
"36",3,3,1,1
"37",3,2,3,2
"38",3,1,3,1
"39",1,1,1,1
"40",3,2,1,2
"41",2,2,1,3
"42",1,3,1,1
"43",1,2,2,3
"44",3,1,1,3
"45",3,2,3,1
