"","V1","V2","V3","V4","V5","V6","V7"
"1",2,3,3,2,2,2,3
"2",2,3,3,1,1,3,2
"3",2,1,2,3,1,2,1
"4",3,2,2,1,3,2,3
"5",3,3,3,2,3,2,1
"6",1,1,1,2,1,1,2
"7",1,2,1,1,2,3,2
"8",1,2,2,3,1,3,3
"9",1,3,2,2,3,1,2
"10",2,2,3,2,3,3,3
"11",3,2,2,3,2,1,1
"12",3,1,3,1,2,3,3
"13",2,3,2,1,3,1,1
"14",2,3,1,2,2,3,2
"15",3,1,3,3,3,1,2
"16",1,2,1,3,3,2,1
"17",1,1,2,3,3,3,2
"18",1,3,1,1,1,2,3
"19",1,3,2,2,2,3,1
"20",2,2,3,3,2,3,1
"21",3,1,1,2,1,3,2
"22",3,3,2,1,2,1,2
"23",2,1,3,3,1,2,2
"24",1,3,3,3,2,1,3
"25",3,2,1,1,2,1,2
"26",3,1,1,2,2,2,1
"27",1,2,3,1,3,2,2
"28",2,2,1,2,3,1,3
"29",1,1,2,2,3,2,3
"30",2,1,2,1,1,1,3
"31",3,3,1,3,3,3,3
"32",3,3,2,3,1,2,2
"33",3,2,2,1,1,3,1
"34",2,1,1,3,2,2,3
"35",1,2,3,2,1,2,1
"36",3,2,3,2,1,1,3
"37",1,1,3,1,2,1,1
"38",2,1,1,1,3,3,1
"39",2,3,1,3,1,1,1
