"","V1","V2","V3"
"1",2,3,1
"2",2,2,3
"3",3,3,3
"4",3,3,2
"5",3,2,2
"6",1,1,1
"7",1,2,2
"8",2,3,1
"9",2,3,2
"10",2,1,2
"11",1,2,1
"12",2,1,1
"13",2,2,3
"14",1,2,2
"15",1,3,2
"16",3,3,2
"17",1,1,2
"18",3,1,2
"19",3,2,1
"20",1,1,3
"21",1,2,1
"22",1,3,1
"23",2,3,3
"24",1,3,3
"25",3,2,3
"26",2,1,2
"27",3,1,2
"28",2,3,2
"29",1,2,1
"30",3,2,3
"31",2,2,1
"32",1,3,2
"33",1,3,3
"34",1,1,2
"35",2,1,1
"36",2,1,3
"37",3,2,3
"38",3,1,1
"39",3,3,1
"40",3,1,3
"41",2,1,3
"42",2,3,3
"43",3,3,1
"44",1,1,3
"45",3,2,2
"46",1,2,3
"47",3,1,1
"48",2,2,1
