"","V1","V2"
"1",3,4
"2",4,2
"3",3,4
"4",2,4
"5",4,3
"6",2,4
"7",3,4
"8",3,1
"9",4,1
"10",2,4
"11",1,4
"12",2,3
"13",4,4
"14",1,4
"15",1,4
"16",1,3
"17",3,3
"18",4,2
"19",1,2
"20",4,4
"21",1,2
"22",4,3
"23",1,1
"24",4,3
"25",2,2
"26",1,2
"27",3,1
"28",3,1
"29",4,1
"30",3,2
"31",4,1
"32",1,3
"33",4,4
"34",2,1
"35",2,1
"36",3,4
"37",3,1
"38",1,3
"39",4,3
"40",1,2
"41",2,2
"42",2,1
"43",1,1
"44",2,3
"45",2,3
"46",3,2
"47",3,3
"48",1,1
"49",2,3
"50",4,2
"51",3,2
"52",2,2
