"","V1","V2","V3","V4","V5","V6"
"1",1,1,2,4,5,5
"2",1,2,5,3,3,1
"3",2,5,2,3,1,1
"4",4,5,1,4,3,3
"5",1,4,4,4,4,2
"6",3,1,3,5,3,2
"7",5,3,2,5,4,4
"8",4,1,2,3,5,3
"9",3,4,4,2,4,3
"10",5,5,4,5,3,5
"11",2,1,4,5,1,3
"12",1,2,3,2,1,2
"13",4,3,5,4,1,1
"14",3,4,1,5,5,1
"15",2,2,1,4,1,4
"16",1,5,2,1,4,3
"17",3,2,5,4,4,5
"18",1,3,4,2,3,5
"19",3,2,1,1,3,4
"20",1,4,3,5,2,4
"21",5,3,1,1,2,2
"22",5,1,3,3,2,5
"23",3,3,2,2,1,5
"24",4,5,3,1,1,4
"25",3,5,4,4,2,2
"26",2,3,3,1,5,1
"27",2,3,5,5,5,3
"28",4,4,1,3,4,5
"29",5,2,4,1,5,4
"30",5,4,5,3,1,3
"31",5,4,2,2,3,1
"32",2,1,1,2,4,2
"33",4,2,2,5,2,2
"34",2,5,3,3,5,4
"35",3,1,4,1,2,1
"36",4,1,5,2,3,4
"37",1,3,1,3,2,3
"38",2,4,5,1,2,5
"39",4,5,5,2,5,2
"40",5,2,3,4,4,1
