"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",6,2,3,4,6,6,3,4
"2",3,5,4,4,5,1,6,3
"3",5,2,6,3,5,5,2,6
"4",3,6,4,6,1,4,2,2
"5",6,5,6,5,3,4,3,5
"6",2,3,3,6,3,2,6,1
"7",6,3,1,4,3,1,1,2
"8",5,1,3,2,1,2,3,3
"9",4,5,5,1,1,5,6,4
"10",2,1,5,3,3,6,5,6
"11",4,3,1,5,6,3,5,4
"12",5,4,2,1,5,3,2,1
"13",5,6,6,3,4,1,3,1
"14",5,3,2,1,2,4,4,6
"15",6,4,2,6,5,2,4,6
"16",5,3,4,6,2,6,6,5
"17",6,6,3,2,3,6,4,2
"18",1,4,6,4,1,2,5,5
"19",4,1,2,5,2,5,2,1
"20",2,4,1,6,4,6,3,3
"21",2,6,3,5,6,5,5,6
"22",5,5,5,6,6,3,1,3
"23",6,4,4,3,1,5,1,4
"24",4,6,5,4,2,2,2,6
"25",1,6,2,3,3,4,1,4
"26",3,2,3,6,4,4,1,5
"27",3,1,6,6,3,3,4,4
"28",4,1,2,3,4,1,6,5
"29",2,5,1,2,2,1,5,4
"30",2,6,4,1,5,3,4,5
"31",3,3,5,2,6,2,2,5
"32",4,5,1,2,4,6,2,5
"33",2,2,4,2,2,3,1,1
"34",4,2,5,5,1,1,4,2
"35",1,2,3,2,4,4,6,2
"36",5,6,1,5,2,3,6,3
"37",6,2,5,1,4,2,5,3
"38",4,4,6,2,6,4,6,2
"39",1,1,4,5,5,1,2,4
"40",1,3,6,1,2,5,3,3
"41",3,4,2,3,1,6,5,1
"42",6,1,4,4,5,4,5,1
"43",1,5,5,5,4,5,4,1
"44",2,3,6,4,5,6,1,2
"45",1,2,1,4,1,3,3,6
"46",1,5,2,3,6,2,3,2
"47",3,1,1,1,6,5,4,3
"48",3,4,3,1,3,1,1,6
