"","V1","V2","V3"
"1",2,2,2
"2",1,2,3
"3",2,3,1
"4",3,2,3
"5",2,2,1
"6",1,1,2
"7",3,1,2
"8",2,1,3
"9",2,1,1
"10",1,1,3
"11",1,2,3
"12",3,1,2
"13",2,1,2
"14",1,3,2
"15",2,3,1
"16",1,3,2
"17",2,2,2
"18",2,2,2
"19",1,1,2
"20",2,3,2
"21",3,2,2
"22",3,1,3
"23",2,3,3
"24",1,1,3
"25",2,1,1
"26",1,2,1
"27",3,3,2
"28",2,2,2
"29",2,2,3
"30",2,1,3
"31",3,1,1
"32",1,3,3
"33",3,2,1
"34",1,3,1
"35",3,3,3
"36",1,3,3
"37",1,1,1
"38",1,2,2
"39",3,2,1
"40",3,3,2
"41",3,3,1
"42",3,1,3
"43",3,2,3
"44",3,3,1
"45",1,2,1
"46",2,3,3
"47",3,3,3
"48",3,1,1
"49",2,2,2
"50",1,3,1
"51",1,1,1
