"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",2,1,5,4,2,5,4,4,4,3,5,3
"2",3,2,1,4,1,4,2,5,5,3,1,2
"3",1,3,5,2,3,3,5,3,1,1,1,4
"4",2,5,4,4,1,2,4,2,2,2,3,1
"5",2,4,2,1,3,4,2,4,1,2,5,1
"6",4,5,2,2,3,1,2,3,5,5,4,4
"7",4,5,3,5,2,3,5,5,2,2,5,4
"8",2,2,3,3,5,3,5,1,1,5,4,4
"9",1,5,3,3,2,5,1,3,1,4,2,2
"10",5,2,5,2,2,3,1,1,2,2,4,2
"11",1,4,1,4,5,3,2,1,4,2,2,3
"12",2,1,3,2,5,2,1,2,5,4,3,1
"13",4,1,1,5,3,4,4,1,1,5,3,3
"14",3,2,4,5,5,5,3,4,2,1,2,2
"15",1,5,5,3,3,4,3,1,5,2,4,5
"16",1,3,2,5,4,3,4,5,5,4,4,1
"17",3,1,4,1,1,2,3,5,1,4,4,4
"18",1,1,3,5,2,1,2,3,4,1,3,5
"19",1,3,1,2,1,1,3,2,2,3,5,3
"20",4,4,4,1,1,3,1,4,5,1,2,3
"21",3,2,5,4,3,1,1,3,3,5,5,1
"22",3,4,1,2,1,5,5,2,4,4,3,5
"23",4,4,5,3,5,1,2,5,1,3,3,2
"24",5,2,3,1,5,5,4,3,5,2,3,4
"25",5,4,4,5,4,5,2,2,3,4,5,3
"26",3,5,5,2,5,4,4,5,4,5,2,3
"27",4,1,2,3,1,4,5,3,3,1,4,1
"28",5,3,3,4,1,4,1,4,2,5,3,5
"29",2,4,4,4,4,1,5,4,3,4,1,5
"30",5,2,1,3,5,2,3,4,4,3,5,5
"31",5,1,2,2,3,1,4,5,3,2,1,3
"32",5,3,5,5,3,2,5,2,5,3,2,2
"33",4,3,2,4,4,2,3,2,1,1,2,5
"34",5,5,1,1,4,3,3,3,2,4,1,1
"35",1,2,2,1,2,2,5,4,3,5,2,2
"36",2,3,1,3,4,5,1,5,3,1,4,4
"37",3,4,3,1,4,1,4,1,4,1,5,2
"38",4,3,4,3,2,5,3,1,4,5,1,1
"39",2,1,4,1,4,4,2,2,2,3,1,5
"40",3,5,2,5,2,2,1,1,3,3,1,4
