"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,5,3,1,3,4,1,5
"2",2,3,1,1,2,4,4,2
"3",2,4,4,1,5,1,5,3
"4",4,4,1,4,3,4,4,1
"5",3,2,2,4,2,5,1,5
"6",3,5,1,5,2,3,5,4
"7",4,3,3,4,5,2,1,1
"8",2,1,5,5,3,5,3,4
"9",1,1,4,3,5,3,2,4
"10",3,3,4,5,3,1,4,3
"11",1,2,2,3,4,5,5,1
"12",3,5,2,3,1,1,2,1
"13",4,1,2,3,3,1,5,5
"14",1,3,1,2,4,2,4,5
"15",2,4,3,3,3,2,3,2
"16",3,1,3,2,5,5,4,3
"17",4,2,1,1,1,2,3,3
"18",2,4,4,2,2,5,1,1
"19",5,3,3,4,1,5,3,2
"20",3,5,5,2,5,3,3,1
"21",4,1,1,2,2,3,1,2
"22",4,3,5,2,2,1,2,5
"23",5,2,5,3,3,4,1,3
"24",2,5,5,4,4,2,3,5
"25",1,4,2,4,2,1,3,4
"26",5,2,4,3,2,1,4,1
"27",5,2,3,5,4,3,4,5
"28",4,3,5,4,5,4,5,4
"29",3,3,2,2,5,4,2,4
"30",2,4,1,4,4,3,1,3
"31",5,4,1,3,5,5,3,5
"32",5,5,2,2,4,2,5,2
"33",4,5,4,5,4,5,2,2
"34",1,5,5,3,1,4,4,3
"35",5,1,4,1,4,4,3,1
"36",3,1,3,1,4,1,1,4
"37",1,1,2,5,1,4,2,3
"38",2,2,1,5,5,1,2,2
"39",1,3,3,5,2,3,5,1
"40",2,2,4,2,1,3,4,5
"41",4,4,3,1,1,5,5,4
"42",1,2,5,1,3,2,2,2
"43",5,5,2,1,3,3,2,3
"44",3,1,5,4,1,2,5,2
"45",5,4,4,5,1,2,1,4
