"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",1,2,3,3,3,3,3,2
"2",1,3,1,3,2,2,2,3
"3",2,3,2,3,3,1,3,1
"4",3,2,1,1,3,1,3,3
"5",2,3,1,2,3,3,1,3
"6",1,3,2,1,3,2,2,2
"7",3,3,1,1,1,2,1,1
"8",3,3,2,2,1,3,3,2
"9",1,2,3,1,1,3,1,3
"10",2,2,2,1,2,3,2,2
"11",2,3,3,1,2,2,3,3
"12",2,1,3,2,3,1,2,3
"13",1,1,2,1,2,1,1,1
"14",1,1,2,2,1,2,3,3
"15",1,1,1,2,2,3,3,1
"16",2,1,3,3,1,2,1,2
"17",3,2,3,3,2,2,3,1
"18",3,1,2,3,2,3,1,3
"19",1,2,1,3,3,1,1,2
"20",1,3,3,2,1,1,2,1
"21",3,3,3,2,2,1,1,2
"22",2,2,1,3,1,3,2,1
"23",3,2,2,3,1,1,2,3
"24",3,1,3,1,3,3,2,1
"25",3,1,1,2,2,2,2,2
"26",2,1,1,1,1,1,3,2
"27",2,2,2,2,3,2,1,1
