"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",3,1,1,3,2,1,1,1,3,2,2,1,2
"2",1,1,2,1,2,1,2,3,1,2,3,3,2
"3",2,3,3,2,3,2,1,1,3,2,3,2,3
"4",1,2,1,2,1,1,1,3,2,3,3,2,1
"5",2,1,2,1,1,2,1,2,1,1,2,1,3
"6",2,3,2,3,1,2,3,1,1,3,2,3,1
"7",3,3,2,3,2,3,2,3,2,3,3,1,3
"8",2,3,1,1,1,3,2,1,1,2,1,1,2
"9",3,1,1,3,3,2,2,2,1,1,3,2,1
"10",2,3,3,2,3,1,3,3,1,1,2,1,2
"11",1,2,3,3,1,1,2,1,2,1,1,2,3
"12",2,1,1,2,3,3,2,3,2,2,1,3,3
"13",2,2,2,3,2,3,1,3,3,1,1,2,1
"14",3,3,3,1,2,1,1,2,2,2,1,3,1
"15",3,2,1,1,3,1,3,1,2,3,2,2,3
"16",3,2,2,1,1,3,3,2,3,1,3,3,2
"17",3,1,3,2,1,2,3,3,3,3,1,2,2
"18",1,2,3,3,3,3,1,2,1,3,2,3,2
"19",1,3,1,2,2,2,3,2,3,1,2,3,3
"20",1,2,2,1,3,2,2,2,3,3,1,1,1
"21",1,1,3,2,2,3,3,1,2,2,3,1,1
