"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",3,2,3,4,1,3,2,4,1,4,4,3
"2",4,1,2,3,2,3,1,4,3,1,1,4
"3",2,3,3,4,4,1,1,3,4,2,4,3
"4",2,2,3,4,4,4,4,1,3,3,1,2
"5",4,3,3,1,1,2,3,3,3,1,4,2
"6",3,2,4,1,2,1,2,4,4,3,3,1
"7",3,4,1,4,2,1,4,3,2,2,2,1
"8",2,4,4,3,1,3,4,4,4,3,2,3
"9",1,1,2,3,4,2,4,4,3,2,3,1
"10",1,4,3,1,3,3,4,2,2,1,3,4
"11",1,1,4,2,2,4,1,1,2,2,3,3
"12",1,2,1,1,2,1,3,3,3,4,1,3
"13",2,4,1,3,4,3,2,2,1,4,1,3
"14",2,1,1,2,3,4,3,3,4,3,4,4
"15",1,3,4,3,3,3,3,1,3,4,4,1
"16",4,2,3,2,3,1,4,2,4,4,2,4
"17",1,4,2,2,3,1,2,4,1,2,4,2
"18",3,1,2,4,3,2,1,2,4,4,2,1
"19",4,3,2,1,4,3,2,1,4,2,2,3
"20",4,1,1,1,2,3,2,2,2,3,4,1
"21",2,4,3,2,2,2,3,1,4,1,1,1
"22",3,3,1,2,1,2,1,1,3,4,3,4
"23",3,3,2,1,1,4,4,2,1,2,1,3
"24",2,3,1,1,3,4,1,4,3,1,2,2
"25",3,1,4,2,4,1,2,2,2,1,1,2
"26",4,2,4,3,3,4,3,3,1,1,2,1
"27",1,2,3,1,4,2,1,3,1,3,2,4
"28",4,4,3,3,2,1,1,1,1,3,3,2
"29",2,1,2,4,1,1,3,1,1,2,2,4
"30",4,4,2,2,4,4,3,4,2,4,3,2
"31",2,1,4,2,1,2,4,3,1,4,3,2
"32",3,4,4,4,2,4,2,2,3,2,4,4
"33",4,3,4,4,3,2,3,4,2,3,1,4
"34",3,2,1,3,4,2,4,1,2,1,4,3
"35",1,3,2,3,1,4,1,3,2,3,1,1
"36",1,2,1,4,1,3,2,2,4,1,3,2
