"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",2,4,1,3,4,1,4,3,1
"2",1,2,3,3,5,4,5,2,1
"3",4,5,5,2,1,4,5,3,3
"4",3,2,5,3,3,1,5,1,5
"5",1,3,4,5,4,4,1,1,3
"6",5,2,1,4,2,4,2,2,1
"7",3,1,2,5,5,2,3,1,4
"8",5,3,5,3,3,5,3,4,1
"9",1,1,3,2,2,3,2,3,5
"10",4,2,2,1,2,1,5,4,2
"11",2,1,5,5,2,4,4,4,3
"12",2,5,3,1,3,2,3,5,5
"13",4,1,4,1,3,4,1,4,4
"14",3,3,4,4,5,1,4,4,5
"15",2,4,2,4,1,3,5,1,2
"16",1,4,5,1,4,2,3,4,2
"17",1,3,1,5,2,2,5,3,4
"18",4,3,2,5,5,2,2,4,2
"19",2,2,1,2,5,3,1,5,3
"20",3,2,4,5,1,5,3,5,2
"21",3,4,2,2,2,4,4,5,1
"22",3,5,3,3,4,5,1,2,2
"23",5,5,3,4,5,3,5,5,4
"24",1,5,2,1,3,3,4,2,3
"25",5,4,1,1,5,4,3,3,3
"26",1,5,2,3,1,5,2,4,4
"27",5,1,4,2,4,2,4,2,2
"28",1,1,3,4,3,1,2,5,1
"29",3,3,3,1,1,2,1,1,1
"30",4,1,1,3,1,3,4,5,5
"31",2,5,4,4,2,1,1,3,2
"32",4,5,1,2,4,1,2,1,4
"33",4,3,5,4,1,3,2,2,4
"34",4,1,2,4,4,5,5,3,3
"35",5,4,5,3,2,2,1,5,3
"36",2,4,5,4,5,5,2,2,5
"37",1,2,4,2,1,1,3,2,4
"38",5,2,2,3,4,2,1,3,5
"39",3,2,5,1,5,3,2,3,1
"40",5,4,3,5,1,1,3,2,3
"41",5,3,3,1,2,5,4,1,5
"42",2,3,4,2,4,5,5,5,4
"43",4,5,4,5,3,3,4,1,1
"44",2,1,1,2,3,5,3,1,2
"45",3,4,1,5,3,4,1,4,5
