"","V1","V2","V3","V4","V5","V6","V7"
"1",3,1,5,5,4,4,1
"2",1,2,3,2,2,1,1
"3",5,4,5,1,2,3,1
"4",2,3,2,3,3,2,1
"5",5,5,2,4,1,4,3
"6",3,5,1,3,5,5,4
"7",5,3,4,2,4,5,5
"8",5,2,1,2,3,4,2
"9",4,4,1,4,4,1,1
"10",1,3,3,5,3,4,4
"11",1,1,1,2,1,3,3
"12",2,5,5,2,4,1,3
"13",4,3,1,1,2,3,4
"14",2,4,5,2,1,4,5
"15",5,1,5,4,3,1,4
"16",5,4,3,5,5,3,4
"17",2,2,1,5,4,2,5
"18",4,1,2,4,2,5,5
"19",4,5,3,1,3,2,5
"20",3,4,2,3,1,1,5
"21",1,2,4,3,5,3,5
"22",2,1,3,1,4,4,4
"23",3,1,4,1,1,2,2
"24",1,5,4,4,2,2,4
"25",2,5,1,5,2,3,2
"26",4,2,5,3,2,5,3
"27",4,5,4,2,5,4,1
"28",3,3,3,3,3,3,3
"29",3,4,4,5,3,5,2
"30",2,2,3,4,1,5,1
"31",1,3,5,4,5,2,2
"32",4,3,4,5,1,1,3
"33",1,4,2,1,4,5,2
"34",3,2,2,1,5,1,3
"35",5,1,2,3,5,2,2
