"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",2,3,1,3,2,3,1,1,3,1,2
"2",2,2,3,1,3,2,1,1,2,1,1
"3",2,3,1,2,3,2,1,2,3,3,1
"4",2,3,3,2,3,3,2,3,1,2,1
"5",3,1,2,1,2,2,2,1,1,3,1
"6",1,2,3,3,2,2,3,1,3,2,1
"7",2,1,2,3,3,3,2,1,1,3,3
"8",3,3,1,1,3,2,2,3,2,1,3
"9",1,1,1,2,2,2,2,3,3,1,3
"10",3,2,1,2,3,2,3,1,3,3,2
"11",2,3,2,1,1,1,1,3,2,1,2
"12",3,2,1,2,1,1,2,3,1,3,3
"13",1,1,2,3,2,1,1,3,2,2,1
"14",1,3,2,2,1,1,3,2,3,2,1
"15",2,1,1,2,1,1,2,1,3,1,1
"16",2,1,3,1,1,2,3,3,2,3,1
"17",1,3,2,3,3,2,1,3,1,3,2
"18",3,2,1,3,1,2,1,2,2,2,3
"19",1,3,3,2,1,2,1,2,1,1,3
"20",2,3,3,3,3,1,3,2,2,2,3
"21",3,1,2,1,3,1,3,2,3,1,2
"22",3,3,3,2,2,3,3,2,1,3,2
"23",2,2,1,1,2,3,3,3,1,1,2
"24",1,1,1,1,1,2,3,2,1,2,2
"25",3,3,2,3,1,2,3,1,1,1,1
"26",1,2,1,3,3,1,2,2,1,1,1
"27",1,2,3,1,3,1,2,3,3,3,2
"28",2,2,2,3,1,3,3,3,3,3,3
"29",3,2,2,1,1,3,1,2,1,2,1
"30",3,1,3,3,2,2,1,2,3,3,3
"31",2,2,3,3,1,1,2,1,2,3,2
"32",1,1,2,1,3,3,1,2,3,2,3
"33",3,1,1,3,3,3,3,3,2,2,1
"34",1,1,1,2,1,3,1,1,2,3,2
"35",3,2,3,2,2,3,1,3,3,1,1
"36",3,3,2,3,2,1,2,3,3,2,2
"37",1,3,1,1,2,3,2,2,2,3,1
"38",3,3,3,1,1,3,2,1,3,2,3
"39",1,3,2,1,2,1,3,1,2,3,3
"40",2,2,1,1,2,1,1,1,1,2,3
"41",3,1,3,2,3,1,1,1,1,2,2
"42",2,1,3,2,2,1,3,3,1,1,3
"43",1,1,3,3,1,3,2,2,2,1,2
"44",1,2,2,2,3,3,3,1,2,1,3
"45",2,2,2,2,2,2,2,2,2,2,2
