"","V1","V2","V3","V4","V5","V6"
"1",3,2,2,1,3,2
"2",3,1,2,2,1,1
"3",3,3,1,1,2,1
"4",2,1,2,1,3,1
"5",3,2,3,3,1,3
"6",1,1,2,2,2,2
"7",1,3,1,1,3,2
"8",2,3,3,1,1,1
"9",3,3,2,1,3,3
"10",2,2,3,1,2,2
"11",2,2,2,2,2,2
"12",2,2,2,2,2,2
"13",1,3,2,3,3,1
"14",2,3,2,3,2,2
"15",2,2,1,3,3,1
"16",3,1,3,3,2,1
"17",1,3,2,1,1,3
"18",3,1,1,2,3,2
"19",2,3,1,2,1,1
"20",1,2,3,1,3,1
"21",1,1,1,1,1,1
"22",1,2,1,2,3,3
"23",3,1,1,3,3,3
"24",1,2,3,3,1,1
"25",1,2,1,2,2,1
"26",3,3,3,2,3,1
"27",2,2,2,2,1,3
"28",2,3,3,3,3,3
"29",3,2,1,1,1,3
"30",2,1,1,1,2,3
"31",3,1,3,1,1,2
"32",1,3,1,3,2,3
"33",3,3,3,2,2,3
"34",2,1,3,2,3,3
"35",1,1,3,3,3,2
"36",3,3,1,3,1,2
"37",1,3,3,2,1,2
"38",1,1,3,1,2,3
"39",2,2,2,2,2,2
"40",3,2,2,3,2,1
"41",2,1,1,3,1,2
"42",1,1,2,3,1,3
