"","V1","V2","V3","V4","V5"
"1",2,5,2,1,3
"2",2,1,5,4,5
"3",4,1,4,1,4
"4",2,5,1,5,4
"5",4,3,3,1,3
"6",3,4,5,2,2
"7",5,5,5,4,4
"8",4,5,1,4,2
"9",1,4,4,3,4
"10",4,1,5,3,3
"11",2,2,4,3,2
"12",3,5,4,1,5
"13",3,4,2,5,4
"14",3,3,3,3,2
"15",1,2,2,3,5
"16",4,3,1,1,5
"17",5,3,4,2,4
"18",4,3,2,5,2
"19",1,5,5,5,2
"20",5,2,1,3,2
"21",2,2,3,5,1
"22",3,4,5,3,3
"23",4,1,2,2,1
"24",5,4,4,5,1
"25",1,1,3,5,3
"26",1,5,3,2,1
"27",2,5,4,2,3
"28",5,4,3,1,2
"29",2,1,1,3,4
"30",5,4,2,4,3
"31",1,1,2,1,2
"32",2,3,5,1,1
"33",5,5,2,3,5
"34",1,4,1,2,5
"35",1,2,5,1,4
"36",3,2,1,2,3
"37",5,2,5,2,1
"38",5,1,3,2,5
"39",4,2,3,4,4
"40",2,4,3,4,5
"41",4,3,5,5,5
"42",1,3,1,4,1
"43",3,4,1,1,1
"44",3,2,4,5,5
"45",3,1,4,4,1
"46",1,3,4,4,3
"47",3,3,2,2,4
"48",5,1,1,5,3
"49",4,5,3,3,1
"50",2,2,2,4,2
