"","V1","V2","V3","V4"
"1",6,5,2,1
"2",1,1,6,4
"3",4,2,2,2
"4",4,4,4,1
"5",1,5,3,5
"6",2,2,2,6
"7",4,3,6,3
"8",5,2,6,1
"9",2,1,3,3
"10",2,5,1,2
"11",2,6,5,5
"12",1,3,1,4
"13",4,6,1,6
"14",5,5,5,6
"15",4,1,4,6
"16",6,2,1,5
"17",5,6,3,2
"18",6,1,5,2
"19",3,3,6,6
"20",3,4,1,4
"21",6,3,3,6
"22",3,4,3,4
"23",3,1,1,1
"24",6,6,4,4
"25",6,4,6,5
"26",1,6,2,3
"27",5,1,2,5
"28",5,4,1,3
"29",5,3,2,2
"30",2,5,6,2
"31",4,1,3,4
"32",6,3,4,3
"33",3,6,4,1
"34",4,6,6,3
"35",3,2,5,3
"36",2,3,3,1
"37",2,2,5,5
"38",1,4,4,6
"39",1,2,4,2
"40",3,5,2,5
"41",5,5,5,4
"42",1,4,5,1
